"Name","RPKM","Total gene reads"
"AT1G01010","2.8792339882","75"
"AT1G01020","7.3674490955","244"
"AT1G01030","2.7581170304","80"
"AT1G01040","6.8366098213","665"
"AT1G01046","0","0"
"AT1G01050","89.7011507793","1337"
"AT1G01060","108.102100707","5338"
"AT1G01070","9.6478220417","214"
"AT1G01073","0","0"
"AT1G01080","42.1290901622","871"
"AT1G01090","111.8982658086","2776"
"AT1G01100","291.1483976077","3027"
"AT1G01110","2.1999000706","62"
"AT1G01115","0","0"
"AT1G01120","89.818266276","2597"
"AT1G01130","9.4575832972","124"
"AT1G01140","62.7920000203","1713"
"AT1G01150","0.3345211976","6"
"AT1G01160","21.0718217413","404"
"AT1G01170","80.9811946292","648"
"AT1G01180","5.3055934266","95"
"AT1G01183","0","1"
"AT1G01190","1.6337726812","41"
"AT1G01200","1.9395643501","30"
"AT1G01210","16.2061762848","155"
"AT1G01220","7.6239641371","417"
"AT1G01225","2.7552580066","47"
"AT1G01230","17.9192658959","230"
"AT1G01240","4.8048572765","142"
"AT1G01250","4.3003230931","55"
"AT1G01260","6.6318659987","269"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","9.6883918364","186"
"AT1G01300","39.3993876685","1093"
"AT1G01305","0","0"
"AT1G01310","0","0"
"AT1G01320","81.3326925357","7542"
"AT1G01340","2.5131097409","98"
"AT1G01350","15.7157262131","338"
"AT1G01355","0.0956006722","1"
"AT1G01360","9.3262279736","145"
"AT1G01370","3.9062319006","60"
"AT1G01380","2.3125937249","20"
"AT1G01390","4.3603426912","112"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","5.5307504662","128"
"AT1G01430","27.7590117414","698"
"AT1G01440","7.4519454165","255"
"AT1G01448","0","147"
"AT1G01450","0.1859240249","4"
"AT1G01453","0","0"
"AT1G01460","0","0"
"AT1G01470","133.433158814","1484"
"AT1G01471","0","0"
"AT1G01480","0.9921096947","32"
"AT1G01490","59.0986494324","1099"
"AT1G01500","8.5412428058","190"
