"Name","RPKM","Total gene reads"
"AT1G01010","9.2453603404","218"
"AT1G01020","6.0557219309","174"
"AT1G01030","0.8763764142","23"
"AT1G01040","8.751274246","767"
"AT1G01046","0","0"
"AT1G01050","87.6842945677","1191"
"AT1G01060","95.6153036261","4273"
"AT1G01070","6.9082637342","142"
"AT1G01073","0","0"
"AT1G01080","27.5083217659","510"
"AT1G01090","75.8436444096","1702"
"AT1G01100","163.7747012771","1539"
"AT1G01110","0.7842985315","20"
"AT1G01115","0","0"
"AT1G01120","47.5502977299","1244"
"AT1G01130","3.2906029188","39"
"AT1G01140","106.5627379623","2564"
"AT1G01150","0.1232374008","3"
"AT1G01160","17.7195397955","297"
"AT1G01170","58.3513538711","422"
"AT1G01180","9.8140355659","159"
"AT1G01183","0","0"
"AT1G01190","3.2050154636","72"
"AT1G01200","1.1826774597","17"
"AT1G01210","10.7230542975","92"
"AT1G01220","5.8981936436","291"
"AT1G01225","2.0536761401","30"
"AT1G01230","21.9854338112","255"
"AT1G01240","11.4059674769","305"
"AT1G01250","0.777716026","9"
"AT1G01260","7.3022786022","268"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","9.2878012773","163"
"AT1G01300","28.0068830136","703"
"AT1G01305","0","0"
"AT1G01310","0","0"
"AT1G01320","100.2651100305","8432"
"AT1G01340","13.9160548079","491"
"AT1G01350","14.8284522286","287"
"AT1G01355","0.1056576843","1"
"AT1G01360","11.5413058254","161"
"AT1G01370","1.4634441349","21"
"AT1G01380","0.7667622791","6"
"AT1G01390","2.5386027957","59"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","3.4860779761","73"
"AT1G01430","12.6872228679","290"
"AT1G01440","13.1055013352","403"
"AT1G01448","0","82"
"AT1G01450","0.1027414424","2"
"AT1G01453","0.2315369349","4"
"AT1G01460","0.0499909291","1"
"AT1G01470","153.5605820381","1557"
"AT1G01471","0","0"
"AT1G01480","7.7849922439","221"
"AT1G01490","58.8525061207","987"
"AT1G01500","8.6945209383","175"
"AT1G01510","13.3384614014","399"
"AT1G01520","12.6858925842","156"
"AT1G01530","0.1930500774","2"
"AT1G01540","25.9838221783","714"
"AT1G01550","157.1395434134","3438"
"AT1G01560","61.3804414417","1467"
"AT1G01570","0.454614796","10"
"AT1G01580","0.6930249353","23"
"AT1G01590","0.0343200138","1"
"AT1G01600","1.7785954424","53"
"AT1G01610","23.2309140517","598"
"AT1G01620","98.7802414233","1785"
"AT1G01630","31.55686751","526"
"AT1G01640","4.8196486117","66"
"AT1G01650","29.1655187158","948"
"AT1G01660","0.765414718","19"
"AT1G01670","1.9548543625","40"
"AT1G01680","65.2905364257","904"
"AT1G01690","1.6731006705","41"
"AT1G01695","0.0557502528","1"
"AT1G01700","0.5974224617","16"
"AT1G01710","14.7387381701","529"
"AT1G01720","54.3298074882","1007"
"AT1G01725","15.3826392775","108"
"AT1G01730","29.3537946213","373"
"AT1G01740","2.9671156441","72"
"AT1G01750","0.6607383662","9"
"AT1G01760","1.4384585033","26"
"AT1G01770","6.6993771134","224"
"AT1G01780","6.0295768574","79"
"AT1G01790","30.5118325777","1665"
"AT1G01800","53.0849032422","806"
"AT1G01810","1.3631329407","12"
"AT1G01820","47.0983242192","691"
"AT1G01830","9.0949397275","318"
"AT1G01840","0.8830514488","10"
"AT1G01860","6.1295544566","132"
"AT1G01870","0","0"
"AT1G01880","0.5091260557","15"
"AT1G01890","0","0"
"AT1G01900","3.0096977916","102"
"AT1G01910","28.3687974245","643"
"AT1G01920","2.760239133","82"
"AT1G01930","6.8265752221","189"
"AT1G01940","11.6375622727","119"
"AT1G01950","6.3376989429","270"
"AT1G01960","13.2096140293","1002"
"AT1G01970","19.764394337","449"
"AT1G01980","0","0"
"AT1G01990","10.8016114718","175"
"AT1G02000","7.0915824042","174"
"AT1G02010","4.6915877339","161"
"AT1G02020","6.3159564104","203"
"AT1G02030","0.0374545042","1"
"AT1G02040","0","0"
"AT1G02050","2.3236637361","42"
"AT1G02060","1.4337315806","43"
"AT1G02065","0.1809242998","5"
"AT1G02070","0","0"
"AT1G02074","0","0"
"AT1G02080","16.4054292553","1718"
"AT1G02090","20.3015603967","465"
"AT1G02100","22.2565887108","469"
"AT1G02110","5.3640223745","174"
"AT1G02120","49.8988485695","1436"
"AT1G02130","33.5563010097","473"
"AT1G02140","87.7514659964","956"
"AT1G02145","10.104895001","257"
"AT1G02150","31.4669604645","828"
"AT1G02160","18.3067311464","143"
"AT1G02170","32.5988753402","606"
"AT1G02180","1.8186242583","23"
"AT1G02190","0.4676555947","14"
"AT1G02205","67.0639181817","2242"
"AT1G02210","0","0"
"AT1G02220","57.9407061479","1107"
"AT1G02230","3.2902447969","49"
"AT1G02250","0.1999637165","3"
"AT1G02260","6.2574852665","188"
"AT1G02270","26.4313134501","613"
"AT1G02280","49.52474455","805"
"AT1G02290","2.4837971016","58"
"AT1G02300","6.2115868415","111"
"AT1G02305","97.4531060075","1894"
"AT1G02310","11.384121397","226"
"AT1G02320","0","0"
"AT1G02330","23.3951878261","344"
"AT1G02335","14.3952245192","165"
"AT1G02340","2.8385910818","49"
"AT1G02350","2.0592008253","19"
"AT1G02360","12.6362828091","178"
"AT1G02370","2.5186556169","61"
"AT1G02380","2.5253223323","41"
"AT1G02390","18.7647693295","474"
"AT1G02391","0","0"
"AT1G02400","18.3770986272","368"
"AT1G02405","0.5509436743","4"
"AT1G02410","22.0352874026","368"
"AT1G02420","2.1146569451","43"
"AT1G02430","3.2237703464","33"
"AT1G02440","1.7735001872","16"
"AT1G02450","29.2494061771","218"
"AT1G02460","3.2573590894","82"
"AT1G02470","23.9168584332","297"
"AT1G02475","57.8975676602","747"
"AT1G02480","0","0"
"AT1G02490","2.4816009946","4"
"AT1G02500","212.2205922929","4488"
"AT1G02510","0","0"
"AT1G02520","0.5250403551","28"
"AT1G02530","0.0363115703","2"
"AT1G02540","0","0"
"AT1G02550","0.0995704103","1"
"AT1G02560","161.141678004","2984"
"AT1G02570","0","0"
"AT1G02575","0","0"
"AT1G02580","0.4118851061","13"
"AT1G02590","0","0"
"AT1G02600","0","0"
"AT1G02610","7.8241939575","111"
"AT1G02620","0","0"
"AT1G02630","0.0451130075","1"
"AT1G02640","1.2640895159","45"
"AT1G02650","0.7531707299","16"
"AT1G02660","10.9339301773","395"
"AT1G02670","0.4632443683","15"
"AT1G02680","8.8832833838","115"
"AT1G02690","1.4218038688","38"
"AT1G02700","0.4933085472","8"
"AT1G02710","4.9887855045","20"
"AT1G02720","3.7974580887","97"
"AT1G02730","2.7686206218","147"
"AT1G02740","8.5849471859","160"
"AT1G02750","17.2756653236","244"
"AT1G02760","0","0"
"AT1G02770","0.7151411733","12"
"AT1G02780","368.0736590561","5248"
"AT1G02790","0","0"
"AT1G02800","0.3291919687","8"
"AT1G02810","0.4189166422","12"
"AT1G02813","0","0"
"AT1G02816","19.2078130498","267"
"AT1G02820","54.7646970702","465"
"AT1G02830","0","0"
"AT1G02840","54.0075152457","1224"
"AT1G02850","9.5360745535","239"
"AT1G02860","7.7036779721","168"
"AT1G02870","12.7435951429","148"
"AT1G02880","14.5432588606","340"
"AT1G02890","21.3314961308","1229"
"AT1G02900","4.1370731606","33"
"AT1G02910","33.2398260384","731"
"AT1G02920","245.5396629462","3146"
"AT1G02930","262.2687377632","3933"
"AT1G02940","0.2824390237","3"
"AT1G02950","5.073273001","65"
"AT1G02952","0","1"
"AT1G02960","6.4009549463","163"
"AT1G02965","0","0"
"AT1G02970","0.3910928292","10"
"AT1G02980","0.0623866172","2"
"AT1G02990","5.8115300693","363"
"AT1G03000","6.0176822827","263"
"AT1G03010","0.933703852","27"
"AT1G03020","1.4094529921","6"
"AT1G03022","0","0"
"AT1G03030","13.2221361541","256"
"AT1G03040","30.5602515334","633"
"AT1G03050","1.5023018641","41"
"AT1G03055","7.3128521845","111"
"AT1G03060","5.3361336672","831"
"AT1G03070","0.3341935041","5"
"AT1G03080","15.9701147686","1264"
"AT1G03090","12.6177412042","456"
"AT1G03100","0.4475488499","16"
"AT1G03103","0","0"
"AT1G03106","0.2333981643","3"
"AT1G03110","7.5185845989","163"
"AT1G03120","0.1322164464","1"
"AT1G03130","446.5066493513","5487"
"AT1G03140","22.9883443482","460"
"AT1G03150","19.2457676055","201"
"AT1G03160","12.6312901369","519"
"AT1G03170","0.1378667219","2"
"AT1G03180","1.4527050519","30"
"AT1G03190","3.4315678856","132"
"AT1G03200","11.8778447603","72"
"AT1G03210","19.4745151219","256"
"AT1G03220","86.1553474699","1816"
"AT1G03230","9.2304156833","191"
"AT1G03240","0.7673026331","5"
"AT1G03250","23.2447788811","386"
"AT1G03260","5.2314831777","100"
"AT1G03270","1.7420838982","41"
"AT1G03280","20.199070273","545"
"AT1G03290","49.593280222","1509"
"AT1G03300","0.937534802","26"
"AT1G03310","10.3414737893","423"
"AT1G03320","0.2189647936","2"
"AT1G03330","24.7955008465","253"
"AT1G03340","3.0197910408","54"
"AT1G03350","24.8845507475","602"
"AT1G03360","10.9109948792","190"
"AT1G03365","6.8082145762","276"
"AT1G03370","19.7018641974","1041"
"AT1G03380","12.6424005651","652"
"AT1G03390","0.0523714496","1"
"AT1G03400","58.2573903383","1002"
"AT1G03410","8.430144555","309"
"AT1G03430","22.4488047042","334"
"AT1G03440","8.0555269237","185"
"AT1G03445","0.0798534973","4"
"AT1G03457","2.2891488532","55"
"AT1G03470","0.9313466443","16"
"AT1G03475","76.1459899095","1525"
"AT1G03490","0","0"
"AT1G03495","7.4989817725","181"
"AT1G03502","0","19"
"AT1G03506","0","1"
"AT1G03510","0.225075439","4"
"AT1G03515","0","0"
"AT1G03520","4.5299888425","128"
"AT1G03530","5.5535482465","199"
"AT1G03540","0.555309075","14"
"AT1G03550","9.3474295014","173"
"AT1G03545","0","0"
"AT1G03560","2.9292245886","91"
"AT1G03570","0","0"
"AT1G03590","18.1195279807","505"
"AT1G03600","233.3015135009","2507"
"AT1G03610","14.9507200217","353"
"AT1G03620","1.7724690825","22"
"AT1G03630","90.0305792669","1731"
"AT1G03640","0","0"
"AT1G03650","2.0137581841","22"
"AT1G03660","4.4806684624","20"
"AT1G03670","0","0"
"AT1G03680","168.7045533265","2124"
"AT1G03687","6.2202949601","125"
"AT1G03700","0.1134169205","1"
"AT1G03710","1.7420838982","24"
"AT1G03720","0","0"
"AT1G03730","10.0588489751","148"
"AT1G03740","15.4121115011","659"
"AT1G03743","0","0"
"AT1G03746","0","0"
"AT1G03750","2.7595440057","103"
"AT1G03760","4.3068885568","83"
"AT1G03770","5.3379102767","124"
"AT1G03780","0.7805035386","32"
"AT1G03790","1.5689460833","34"
"AT1G03800","0.3934245479","4"
"AT1G03810","0","0"
"AT1G03820","5.401810537","64"
