"Name","RPKM","Total gene reads"
"AT1G01010","7.8194228859","199"
"AT1G01020","8.0824136796","242"
"AT1G01030","3.6929653791","106"
"AT1G01040","7.8314182214","747"
"AT1G01046","0","0"
"AT1G01050","108.6019388428","1592"
"AT1G01060","0.4972240691","25"
"AT1G01070","6.5152641422","142"
"AT1G01073","0","0"
"AT1G01080","55.2428352525","1127"
"AT1G01090","97.2275520259","2366"
"AT1G01100","322.867579526","3278"
"AT1G01110","1.9908438043","57"
"AT1G01115","0","0"
"AT1G01120","50.1007580279","1420"
"AT1G01130","6.2534213753","66"
"AT1G01140","133.4131261266","3481"
"AT1G01150","0.1706305857","4"
"AT1G01160","32.4782253516","593"
"AT1G01170","106.2908168568","837"
"AT1G01180","16.5793150528","291"
"AT1G01183","0","0"
"AT1G01190","3.4583820239","83"
"AT1G01200","1.5010394631","23"
"AT1G01210","14.2485772291","131"
"AT1G01220","10.7747836348","579"
"AT1G01225","3.006871602","50"
"AT1G01230","34.5473613923","431"
"AT1G01240","15.7405616423","456"
"AT1G01250","1.4357344994","18"
"AT1G01260","6.2624755568","249"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","10.2658332042","194"
"AT1G01300","35.5965494624","968"
"AT1G01305","0","0"
"AT1G01310","0.2057347287","3"
"AT1G01320","81.0205517757","7369"
"AT1G01340","7.2419165546","278"
"AT1G01350","20.8181502416","437"
"AT1G01355","0.0975268462","1"
"AT1G01360","15.745221677","236"
"AT1G01370","4.6603478711","71"
"AT1G01380","2.4771475518","22"
"AT1G01390","1.0326167907","26"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","6.9204921705","157"
"AT1G01430","35.2142594844","866"
"AT1G01440","11.1919630647","373"
"AT1G01448","0","337"
"AT1G01450","0.0474175112","1"
"AT1G01453","0.1602893381","3"
"AT1G01460","0","0"
"AT1G01470","495.825412638","5415"
"AT1G01471","0","0"
"AT1G01480","1.1470453537","41"
"AT1G01490","54.2661749724","973"
"AT1G01500","8.0254381099","177"
"AT1G01510","19.5561918049","631"
"AT1G01520","0.3101895523","4"
"AT1G01530","0.4454849954","5"
"AT1G01540","55.9520195232","1665"
"AT1G01550","108.6885090581","2581"
"AT1G01560","13.4001886613","349"
"AT1G01570","1.8183972087","40"
"AT1G01580","0.945633903","34"
"AT1G01590","0.285110397","10"
"AT1G01600","6.2261625541","202"
"AT1G01610","32.453581914","904"
"AT1G01620","204.5885073129","3998"
"AT1G01630","38.8193329048","701"
"AT1G01640","2.8310257735","42"
"AT1G01650","29.1544645198","1014"
"AT1G01660","1.2167716711","32"
"AT1G01670","2.37423612","52"
"AT1G01680","8.540016608","129"
"AT1G01690","4.7914386171","124"
"AT1G01695","0.2058400716","4"
"AT1G01700","1.1028961861","36"
"AT1G01710","15.0563917542","591"
"AT1G01720","31.7694442425","646"
"AT1G01725","17.0090694928","121"
"AT1G01730","32.7641975509","447"
"AT1G01740","3.1754001567","85"
"AT1G01750","0.9584010096","12"
"AT1G01760","2.7065929842","59"
"AT1G01770","11.828701676","428"
"AT1G01780","11.0597936235","159"
"AT1G01790","51.6279108365","3047"
"AT1G01800","70.1740298745","1160"
"AT1G01810","0.3145584193","3"
"AT1G01820","65.0190451741","1032"
"AT1G01830","11.4502008584","436"
"AT1G01840","1.3856642776","17"
"AT1G01860","8.337895167","186"
"AT1G01870","0","0"
"AT1G01880","1.007028206","30"
"AT1G01890","0","0"
"AT1G01900","4.5212018654","166"
"AT1G01910","34.422502983","844"
"AT1G01920","9.8470040008","301"
"AT1G01930","9.3513072448","280"
"AT1G01940","15.0205919097","165"
"AT1G01950","8.7859314146","405"
"AT1G01960","19.1918989562","1575"
"AT1G01970","19.2185847082","473"
"AT1G01980","0","0"
"AT1G01990","21.6499646738","380"
"AT1G02000","7.7873078408","207"
"AT1G02010","4.7663272677","179"
"AT1G02020","9.1900136554","320"
"AT1G02030","0.1037166305","3"
"AT1G02040","0.0687189162","1"
"AT1G02050","5.7195927213","112"
"AT1G02060","3.0468963653","99"
"AT1G02065","1.8036146254","54"
"AT1G02070","0","0"
"AT1G02074","0","0"
"AT1G02080","16.3827313133","1860"
"AT1G02090","19.7893081495","493"
"AT1G02100","26.660305664","595"
"AT1G02110","11.3212484152","397"
"AT1G02120","58.7870485342","1806"
"AT1G02130","33.4020373584","514"
"AT1G02140","132.9776683709","1570"
"AT1G02145","13.2136431114","355"
"AT1G02150","49.3211132401","1407"
"AT1G02160","36.5137415902","310"
"AT1G02170","35.6067887331","716"
"AT1G02180","5.8388621618","82"
"AT1G02190","0.3700006073","12"
