"Name","RPKM","Total gene reads"
"AT1G01010","7.3239226891","206"
"AT1G01020","7.8957679476","266"
"AT1G01030","1.1508737286","36"
"AT1G01040","9.7767833514","1023"
"AT1G01046","0","0"
"AT1G01050","106.014121008","1712"
"AT1G01060","95.4369927857","5084"
"AT1G01070","13.3560880473","319"
"AT1G01073","0","0"
"AT1G01080","34.7344196","766"
"AT1G01090","99.9036088097","2671"
"AT1G01100","308.4484251371","3453"
"AT1G01110","3.6520500073","114"
"AT1G01115","0","0"
"AT1G01120","57.2123834803","1784"
"AT1G01130","5.1968342591","56"
"AT1G01140","83.5908849753","2376"
"AT1G01150","0.2067925347","4"
"AT1G01160","22.1407736831","457"
"AT1G01170","99.3326936659","858"
"AT1G01180","6.369684848","123"
"AT1G01183","0","0"
"AT1G01190","3.1056174881","83"
"AT1G01200","1.3023507443","22"
"AT1G01210","14.1375931993","143"
"AT1G01220","7.8970509272","464"
"AT1G01225","1.9012808265","36"
"AT1G01230","26.8635184385","378"
"AT1G01240","7.687067677","245"
"AT1G01250","1.4500095589","20"
"AT1G01260","8.2983655161","363"
"AT1G01270","0","0"
"AT1G01280","1.6726702028","44"
"AT1G01290","11.3164560196","235"
"AT1G01300","51.1068681961","1529"
"AT1G01305","0","0"
"AT1G01310","0.0623340854","1"
"AT1G01320","96.3346373698","9642"
"AT1G01340","9.2972210534","389"
"AT1G01350","17.2261135597","397"
"AT1G01355","0","0"
"AT1G01360","15.8341043832","265"
"AT1G01370","3.1309682209","52"
"AT1G01380","1.7155042669","16"
"AT1G01390","1.9132906213","53"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","3.9264732529","98"
"AT1G01430","16.4304980833","451"
"AT1G01440","11.653611268","426"
"AT1G01448","0","195"
"AT1G01450","0.0431000718","1"
"AT1G01453","0.2428245673","5"
"AT1G01460","0","0"
"AT1G01470","149.1096487252","1808"
"AT1G01471","0","0"
"AT1G01480","4.3237445155","154"
"AT1G01490","61.8389350581","1232"
"AT1G01500","8.4618627647","206"
"AT1G01510","20.6298343739","736"
"AT1G01520","12.1236910341","174"
"AT1G01530","0.0809845764","1"
"AT1G01540","29.669426359","976"
"AT1G01550","132.8949107207","3469"
"AT1G01560","37.9648116789","1081"
"AT1G01570","0.5509430892","13"
"AT1G01580","1.5673826863","63"
"AT1G01590","0.2591506446","10"
"AT1G01600","8.3058799976","297"
"AT1G01610","36.3236769566","1114"
"AT1G01620","193.8290300727","4185"
"AT1G01630","39.0309306203","779"
"AT1G01640","5.6366568768","92"
"AT1G01650","30.55993119","1164"
"AT1G01660","1.2843669907","39"
"AT1G01670","2.5033474738","58"
"AT1G01680","31.3021752652","515"
"AT1G01690","3.2753762022","94"
"AT1G01695","0.3741960152","8"
"AT1G01700","1.1277852125","34"
"AT1G01710","15.6405525454","688"
"AT1G01720","45.5827473037","1007"
"AT1G01725","15.46036682","126"
"AT1G01730","35.2686940403","532"
"AT1G01740","3.7882358737","109"
"AT1G01750","0.2375828406","8"
"AT1G01760","1.9031375461","46"
"AT1G01770","5.8012660168","235"
"AT1G01780","5.8370991828","91"
"AT1G01790","33.9239646441","2204"
"AT1G01800","61.6769093249","1122"
"AT1G01810","0.953057926","10"
"AT1G01820","50.1498535036","878"
"AT1G01830","10.5525279318","445"
"AT1G01840","1.8522019913","25"
"AT1G01860","8.8418360658","214"
"AT1G01870","0","0"
"AT1G01880","0.8238030259","27"
"AT1G01890","0","0"
"AT1G01900","6.2385777119","252"
"AT1G01910","31.9959907437","865"
"AT1G01920","8.1367442873","280"
"AT1G01930","7.8296163976","258"
"AT1G01940","16.6317672503","205"
"AT1G01950","8.7825628025","448"
"AT1G01960","15.8263463702","1429"
"AT1G01970","24.5595918617","665"
"AT1G01980","0","0"
"AT1G01990","11.8590067496","229"
"AT1G02000","8.4460410803","247"
"AT1G02010","5.0997897169","212"
"AT1G02020","7.1002611234","272"
"AT1G02030","0.2199704904","7"
"AT1G02040","0","0"
"AT1G02050","8.1231480624","176"
"AT1G02060","2.96529286","106"
"AT1G02065","6.4057750304","211"
"AT1G02070","0.6049708756","6"
"AT1G02074","0.4142884454","1"
"AT1G02080","17.5955957734","2195"
"AT1G02090","26.4672630877","723"
"AT1G02100","26.567004406","666"
"AT1G02110","9.290337822","363"
"AT1G02120","53.2801384727","1823"
"AT1G02130","34.8343138694","588"
"AT1G02140","109.6207226527","1429"
"AT1G02145","12.7876713071","399"
"AT1G02150","37.7199868814","1186"
"AT1G02160","25.4557233673","240"
"AT1G02170","29.4473498144","650"
"AT1G02180","4.5774811565","69"
"AT1G02190","2.1860245352","80"
"AT1G02205","131.9848165718","5253"
"AT1G02210","0","0"
"AT1G02220","25.4314315097","575"
"AT1G02230","2.1971467692","39"
"AT1G02250","0.167769701","3"
"AT1G02260","6.8676128409","244"
"AT1G02270","21.5465250199","595"
"AT1G02280","78.3301586246","1522"
"AT1G02290","5.066051096","141"
"AT1G02300","6.4027316953","138"
"AT1G02305","82.8020383932","1915"
"AT1G02310","3.72412527","87"
"AT1G02320","0.4142884454","1"
"AT1G02330","30.6804480014","534"
"AT1G02335","17.567423502","240"
"AT1G02340","4.0827084787","87"
"AT1G02350","2.5915064457","36"
"AT1G02360","9.2766190178","154"
"AT1G02370","5.4387730554","157"
"AT1G02380","2.1730740936","45"
"AT1G02390","7.8548256507","236"
"AT1G02391","0","0"
"AT1G02400","8.6870624955","201"
"AT1G02405","0.5778026705","5"
"AT1G02410","26.928748951","522"
"AT1G02420","1.9805008609","48"
"AT1G02430","2.5302459065","39"
"AT1G02440","2.6570855791","27"
"AT1G02450","24.202562508","215"
"AT1G02460","1.4508128883","44"
"AT1G02470","12.7694390187","191"
"AT1G02475","50.6082991795","780"
"AT1G02480","0","0"
"AT1G02490","1.0410325038","2"
"AT1G02500","252.0235792233","6352"
"AT1G02510","0","1"
"AT1G02520","0.4562417057","29"
"AT1G02530","0.1980253174","13"
"AT1G02540","0","0"
"AT1G02550","0","0"
"AT1G02560","160.1757762847","3530"
"AT1G02570","0","0"
"AT1G02575","0","0"
"AT1G02580","0.0797473612","3"
"AT1G02590","0","0"
"AT1G02600","0","0"
"AT1G02610","3.3147497067","65"
"AT1G02620","0","0"
"AT1G02630","1.1354953662","30"
"AT1G02640","4.2422880284","181"
"AT1G02650","0.7898884757","20"
"AT1G02660","6.6525927252","286"
"AT1G02670","0.8371189206","34"
"AT1G02680","12.5560915938","191"
"AT1G02690","4.7087939284","150"
"AT1G02700","0.5321394304","11"
"AT1G02710","1.2556783809","6"
"AT1G02720","5.9406931138","181"
"AT1G02730","7.0318315142","445"
"AT1G02740","8.7726127976","195"
"AT1G02750","16.8694112082","286"
"AT1G02760","0","0"
"AT1G02770","0.3000019777","6"
"AT1G02780","585.4353821591","9940"
"AT1G02790","0","0"
"AT1G02800","1.484533596","44"
"AT1G02810","0.5751349562","18"
"AT1G02813","0.7960836794","8"
"AT1G02816","14.0632245227","233"
"AT1G02820","48.5222710929","497"
"AT1G02830","0","0"
"AT1G02840","72.553238644","1945"
"AT1G02850","8.7772197246","268"
"AT1G02860","8.5509462847","219"
"AT1G02870","24.9958943178","352"
"AT1G02880","17.198389239","485"
"AT1G02890","24.9734398684","1703"
"AT1G02900","5.3642840676","51"
"AT1G02910","34.5376072584","899"
"AT1G02920","148.2019499647","2260"
"AT1G02930","176.3173961034","3151"
"AT1G02940","0.1579776951","2"
"AT1G02950","5.4351971208","84"
"AT1G02952","0","1"
"AT1G02960","9.2012952256","275"
"AT1G02965","0","0"
"AT1G02970","1.050006922","34"
"AT1G02980","0.0785136246","3"
"AT1G02990","6.4141830149","481"
"AT1G03000","8.0152786456","415"
"AT1G03010","2.0599945234","72"
"AT1G03020","1.3796207454","7"
"AT1G03022","0","0"
"AT1G03030","11.3650563345","263"
"AT1G03040","38.6901589033","968"
"AT1G03050","0.461133782","15"
"AT1G03055","6.7035889682","121"
"AT1G03060","5.4898716474","1020"
"AT1G03070","0.8411657662","15"
"AT1G03080","18.2616266623","1723"
"AT1G03090","11.1237878363","487"
"AT1G03100","1.0326079633","44"
"AT1G03103","0","0"
"AT1G03106","0.0652737422","1"
"AT1G03110","12.694073453","329"
"AT1G03120","0.3327890791","3"
"AT1G03130","524.5490857876","7683"
"AT1G03140","32.4126876866","771"
"AT1G03150","22.2126632562","276"
"AT1G03160","16.6918332397","823"
"AT1G03170","0.9253622256","16"
"AT1G03180","1.990740275","50"
"AT1G03190","4.4614873689","212"
"AT1G03200","12.0416702914","87"
"AT1G03210","22.7757599007","351"
"AT1G03220","55.288011534","1389"
"AT1G03230","15.1642810594","374"
"AT1G03240","0.515013966","4"
"AT1G03250","24.5434728347","489"
"AT1G03260","7.8182947838","172"
"AT1G03270","3.004419806","78"
"AT1G03280","23.9949503965","775"
"AT1G03290","42.1639516128","1532"
"AT1G03300","1.5731847375","57"
"AT1G03310","13.7257757636","673"
"AT1G03320","0","0"
"AT1G03330","35.6510614688","430"
"AT1G03340","2.2520949698","49"
"AT1G03350","26.8433432464","774"
"AT1G03360","16.7187019869","349"
"AT1G03365","7.6877093539","369"
"AT1G03370","20.5048048475","1284"
"AT1G03380","11.031262432","680"
"AT1G03390","0","0"
"AT1G03400","53.3124873742","1093"
"AT1G03410","12.3086784276","539"
"AT1G03430","20.0822787299","364"
"AT1G03440","6.8681916479","188"
"AT1G03445","0.0446647609","3"
"AT1G03457","3.3872356324","100"
"AT1G03470","2.686064219","57"
"AT1G03475","88.3224054522","2107"
"AT1G03490","0.2159588705","3"
"AT1G03495","7.5082686748","216"
"AT1G03502","0","18"
"AT1G03506","0","5"
"AT1G03510","0.8025634303","17"
"AT1G03515","0","0"
"AT1G03520","5.5064736468","188"
"AT1G03530","10.372502058","443"
"AT1G03540","0.5324625265","16"
"AT1G03550","9.8273302855","223"
"AT1G03545","0","0"
"AT1G03560","3.6999356993","137"
"AT1G03570","0","0"
"AT1G03590","16.99616796","570"
"AT1G03600","304.1896976174","3896"
"AT1G03610","19.2699777797","541"
"AT1G03620","2.7617623924","47"
"AT1G03630","102.7530446673","2357"
"AT1G03640","0","0"
"AT1G03650","2.8415067522","39"
"AT1G03660","3.5713198395","19"
"AT1G03670","0","0"
"AT1G03680","174.8711528031","2625"
"AT1G03687","8.2491214159","199"
"AT1G03700","0","0"
"AT1G03710","2.7405180663","46"
"AT1G03720","0","0"
"AT1G03730","8.0402215429","141"
"AT1G03740","11.4372486795","585"
"AT1G03743","0","0"
"AT1G03746","0","0"
"AT1G03750","2.8600263085","126"
"AT1G03760","7.6676337601","175"
"AT1G03770","4.7721833584","137"
"AT1G03780","3.3375870388","160"
"AT1G03790","0.5033091031","13"
"AT1G03800","0.1650417384","2"
"AT1G03810","0","0"
"AT1G03820","10.0556476852","142"
"AT1G03830","2.8330074264","154"
"AT1G03840","0.3973335802","11"
"AT1G03850","8.8062552366","158"
"AT1G03860","30.8376078709","799"
"AT1G03870","65.4311559795","1112"
"AT1G03880","0","0"
"AT1G03890","0","0"
"AT1G03900","75.7950739544","1504"
"AT1G03905","4.9104618191","99"
"AT1G03910","24.2761940992","990"
"AT1G03920","1.3060933982","44"
"AT1G03930","17.895028149","701"
"AT1G03935","0","10"
"AT1G03940","8.2406483842","205"
"AT1G03950","14.0399129146","236"
"AT1G03960","3.8016762901","156"
"AT1G03970","20.6361116492","389"
"AT1G03980","0.4169475497","16"
"AT1G03982","0","0"
"AT1G03990","1.1233275634","47"
"AT1G04000","12.8527474511","214"
"AT1G04010","4.1378763819","166"
"AT1G04020","4.1597941865","166"
"AT1G04030","1.9134470669","66"
"AT1G04040","58.1504303818","1021"
"AT1G04050","2.3904830485","105"
"AT1G04070","11.4308324533","119"
"AT1G04080","41.4726700945","2134"
"AT1G04090","0.1239702829","4"
"AT1G04100","4.7107966052","98"
"AT1G04110","1.072558617","41"
"AT1G04120","28.313443455","2523"
"AT1G04130","13.2452584194","289"
"AT1G04140","31.7690629344","1650"
"AT1G04150","0.0801584751","4"
"AT1G04160","3.0835646316","229"
"AT1G04170","69.0181906272","2039"
"AT1G04171","0","0"
"AT1G04180","0","0"
"AT1G04190","24.6979889035","549"
"AT1G04200","17.1449130244","760"
"AT1G04210","20.0149337508","1318"
"AT1G04220","13.484113555","416"
"AT1G04230","9.6927237811","221"
"AT1G04240","19.9037814664","394"
"AT1G04250","20.2814584485","362"
"AT1G04260","16.9329278561","233"
"AT1G04270","370.5028174657","4910"
"AT1G04280","9.4276985139","309"
"AT1G04290","16.1058912988","233"
"AT1G04295","0","2"
"AT1G04300","20.8280956926","1335"
"AT1G04310","5.1284548609","209"
"AT1G04320","0","0"
"AT1G04330","0.2718767923","3"
"AT1G04340","23.2173739585","323"
"AT1G04350","48.5853618405","1167"
"AT1G04360","0.856545731","20"
"AT1G04370","0.605974144","4"
"AT1G04380","0.0950084266","2"
"AT1G04390","4.2263311788","250"
"AT1G04400","40.0424384043","1658"
"AT1G04410","350.9980686015","8562"
"AT1G04420","43.9742898917","1050"
"AT1G04425","0","98"
"AT1G04430","64.5170454831","2673"
