"Name","RPKM","Total gene reads"
"AT1G01010","5.394853284","150"
"AT1G01020","6.2661924533","200"
"AT1G01030","2.6044509915","79"
"AT1G01040","7.7424886877","783"
"AT1G01046","0","0"
"AT1G01050","99.8035658881","1559"
"AT1G01060","0.9904082262","52"
"AT1G01070","9.0090585846","208"
"AT1G01073","0","0"
"AT1G01080","50.641880943","1096"
"AT1G01090","77.626248108","2011"
"AT1G01100","253.3414992467","2749"
"AT1G01110","1.323251109","39"
"AT1G01115","0","0"
"AT1G01120","57.2143827202","1730"
"AT1G01130","4.689330494","52"
"AT1G01140","101.0301714835","2812"
"AT1G01150","0","2"
"AT1G01160","26.6654932579","524"
"AT1G01170","104.7538547426","877"
"AT1G01180","11.9625777909","224"
"AT1G01183","0","0"
"AT1G01190","3.6322939095","93"
"AT1G01200","2.4302792966","38"
"AT1G01210","12.7442234988","126"
"AT1G01220","12.0557179068","686"
"AT1G01225","2.0832391568","34"
"AT1G01230","27.9294559601","371"
"AT1G01240","16.8576202486","521"
"AT1G01250","0.8224272231","11"
"AT1G01260","5.9172998814","251"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","8.0871705603","162"
"AT1G01300","33.2631227953","965"
"AT1G01305","0","0"
"AT1G01310","0","0"
"AT1G01320","81.2757685927","7894"
"AT1G01340","6.1936423474","252"
"AT1G01350","21.9812366908","493"
"AT1G01355","0","0"
"AT1G01360","14.2564020823","228"
"AT1G01370","2.6590205674","45"
"AT1G01380","0.7739872074","7"
"AT1G01390","1.7869410808","48"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","3.2641310123","79"
"AT1G01430","26.1617642187","687"
"AT1G01440","9.8121684334","349"
"AT1G01448","0","303"
"AT1G01450","0.1777877803","4"
"AT1G01453","0.3505779377","7"
"AT1G01460","0","1"
"AT1G01470","351.5961223477","4099"
"AT1G01471","0","0"
"AT1G01480","17.9619370455","577"
"AT1G01490","61.2979692453","1169"
"AT1G01500","11.3484824217","264"
"AT1G01510","17.2236140328","591"
"AT1G01520","0.4361356486","7"
"AT1G01530","0.083515337","1"
"AT1G01540","49.8260310249","1585"
"AT1G01550","119.8866679954","3021"
"AT1G01560","19.6857859085","549"
"AT1G01570","1.5733661813","36"
"AT1G01580","0.7560408753","29"
"AT1G01590","0.6532755248","22"
"AT1G01600","2.9035382988","100"
"AT1G01610","24.2957634605","722"
"AT1G01620","115.4759157738","2407"
"AT1G01630","31.8455156902","612"
"AT1G01640","3.222314088","51"
"AT1G01650","33.0991594957","1212"
"AT1G01660","1.1037527839","32"
"AT1G01670","2.18098734","52"
"AT1G01680","5.4668360682","89"
"AT1G01690","2.9694342034","86"
"AT1G01695","0.2411810038","5"
"AT1G01700","1.2922537737","33"
"AT1G01710","16.7089657486","680"
"AT1G01720","52.7339699159","1126"
"AT1G01725","15.9435018571","125"
"AT1G01730","28.8482164419","423"
"AT1G01740","3.3857355092","95"
"AT1G01750","0.6533527532","13"
"AT1G01760","2.1062160592","51"
"AT1G01770","12.6564275611","500"
"AT1G01780","10.9688812332","165"
"AT1G01790","51.9274847092","3253"
"AT1G01800","63.3183164628","1118"
"AT1G01810","0.589704539","6"
"AT1G01820","54.4137484057","925"
"AT1G01830","9.8862025221","401"
"AT1G01840","0.9168399037","12"
"AT1G01860","8.6064101329","204"
"AT1G01870","0","0"
"AT1G01880","0.7866174023","25"
"AT1G01890","0","0"
"AT1G01900","3.4720652613","137"
"AT1G01910","32.3812713505","848"
"AT1G01920","7.8423733899","261"
"AT1G01930","9.6137474843","307"
"AT1G01940","14.0795964828","165"
"AT1G01950","5.7504870349","288"
"AT1G01960","18.3210307632","1605"
"AT1G01970","20.0331464946","526"
"AT1G01980","0","0"
"AT1G01990","17.4632274001","327"
"AT1G02000","10.1557650869","288"
"AT1G02010","4.5443207096","185"
"AT1G02020","7.9951347709","297"
"AT1G02030","0.1296254559","4"
"AT1G02040","0","0"
"AT1G02050","4.8825917736","102"
"AT1G02060","3.0868066486","107"
"AT1G02065","1.2523137269","41"
"AT1G02070","0.1039793599","1"
"AT1G02074","0","0"
"AT1G02080","17.190869373","2080"
"AT1G02090","17.6031603568","468"
"AT1G02100","22.6705437647","541"
"AT1G02110","8.7935803035","326"
"AT1G02120","48.5184338593","1573"
"AT1G02130","32.7857818838","534"
"AT1G02140","118.3266571997","1486"
"AT1G02145","9.6172464143","282"
"AT1G02150","44.5214577102","1354"
"AT1G02160","25.8081539377","234"
"AT1G02170","34.6923709961","742"
"AT1G02180","6.1572091571","90"
"AT1G02190","0.6936423385","24"
"AT1G02205","24.0764381813","926"
"AT1G02210","0","0"
"AT1G02220","10.6297185137","238"
"AT1G02230","0.1161952514","2"
"AT1G02250","0","0"
"AT1G02260","13.1694268551","455"
"AT1G02270","17.9438666863","479"
"AT1G02280","62.1615892788","1165"
"AT1G02290","4.3721633873","118"
"AT1G02300","12.0795712167","251"
"AT1G02305","89.6746969474","2020"
"AT1G02310","27.9679044431","656"
"AT1G02320","0.4272349211","1"
"AT1G02330","21.9634285055","370"
"AT1G02335","15.1724882378","202"
"AT1G02340","1.3031858487","26"
"AT1G02350","1.1877736814","16"
"AT1G02360","10.1255944061","163"
"AT1G02370","2.250638569","63"
"AT1G02380","1.568687721","29"
"AT1G02390","16.0603117243","466"
"AT1G02391","0","0"
"AT1G02400","18.8551310139","451"
"AT1G02405","0.834202531","7"
"AT1G02410","23.0706857396","438"
"AT1G02420","2.1274909689","50"
"AT1G02430","1.7095517688","29"
"AT1G02440","0.4384190813","5"
"AT1G02450","3.4826358633","30"
"AT1G02460","1.5657390599","45"
"AT1G02470","15.4838204471","231"
"AT1G02475","77.8790855536","1168"
"AT1G02480","0","0"
"AT1G02490","0","0"
"AT1G02500","211.0247883591","5155"
"AT1G02510","0","0"
"AT1G02520","0.7949814355","49"
"AT1G02530","0.0785436886","5"
"AT1G02540","0","0"
"AT1G02550","0","0"
"AT1G02560","234.8692915823","5022"
"AT1G02570","0.1386391466","2"
"AT1G02575","0","0"
"AT1G02580","0.0274131529","1"
"AT1G02590","0","0"
"AT1G02600","0","0"
"AT1G02610","6.8366706585","106"
"AT1G02620","0.2742512376","4"
"AT1G02630","0.1561305989","4"
"AT1G02640","5.6630121063","237"
"AT1G02650","0.5702006924","14"
"AT1G02660","18.4390596344","773"
"AT1G02670","0.7091218794","24"
"AT1G02680","13.4331703198","197"
"AT1G02690","4.920689215","152"
"AT1G02700","0.670717347","11"
"AT1G02710","2.1581970241","10"
"AT1G02720","5.2364798967","156"
"AT1G02730","7.8871069452","484"
"AT1G02740","6.6184163328","143"
"AT1G02750","16.391722218","278"
"AT1G02760","0","0"
"AT1G02770","0.4640655177","9"
"AT1G02780","489.8797435695","8052"
"AT1G02790","0.4924281871","13"
"AT1G02800","0.4984407413","14"
"AT1G02810","1.4498192391","46"
"AT1G02813","0","0"
"AT1G02816","23.1545237122","372"
"AT1G02820","3.7784239608","37"
"AT1G02830","0","0"
"AT1G02840","58.0361384576","1501"
"AT1G02850","18.4859624371","543"
"AT1G02860","11.4263514957","277"
"AT1G02870","16.4645087567","221"
"AT1G02880","13.889961014","377"
"AT1G02890","24.8568814119","1643"
"AT1G02900","5.2065105411","48"
"AT1G02910","54.0505682459","1355"
"AT1G02920","92.677646588","1369"
"AT1G02930","273.8770041962","4735"
"AT1G02940","4.6430627807","57"
"AT1G02950","7.4959055996","113"
"AT1G02952","0","2"
"AT1G02960","10.5964809444","306"
"AT1G02965","0","0"
"AT1G02970","1.5903912015","47"
"AT1G02980","0.0809671681","3"
"AT1G02990","6.3030158692","457"
"AT1G03000","9.9472693227","494"
"AT1G03010","1.1369863122","39"
"AT1G03020","5.2844397037","26"
"AT1G03022","0","0"
"AT1G03030","13.4478941411","299"
"AT1G03040","34.0329586911","812"
"AT1G03050","0.1268117787","4"
"AT1G03055","3.3979523669","58"
"AT1G03060","6.8059384658","1225"
"AT1G03070","0.7517918363","13"
"AT1G03080","21.4381656906","1959"
"AT1G03090","13.4475716187","573"
"AT1G03100","1.2342890958","51"
"AT1G03103","0","0"
"AT1G03106","0.4038812437","6"
"AT1G03110","4.8186854273","122"
"AT1G03120","0.6863774142","6"
"AT1G03130","285.432202256","4054"
"AT1G03140","32.2504630984","745"
"AT1G03150","13.524314057","163"
"AT1G03160","20.7498784036","983"
"AT1G03170","0.7157097824","12"
"AT1G03180","2.0948476785","53"
"AT1G03190","4.6009084376","210"
"AT1G03200","9.8487359199","69"
"AT1G03210","26.7699149345","383"
"AT1G03220","248.1765770911","6046"
"AT1G03230","9.5752391139","229"
"AT1G03240","0","0"
"AT1G03250","19.5867207015","379"
"AT1G03260","9.1470611712","195"
