"Name","RPKM","Total gene reads"
"AT1G01010","8.6400574861","230"
"AT1G01020","6.7428301238","201"
"AT1G01030","1.1416636258","35"
"AT1G01040","9.4712508036","938"
"AT1G01046","0","0"
"AT1G01050","84.1529671543","1289"
"AT1G01060","0.8900752512","45"
"AT1G01070","6.4407891329","146"
"AT1G01073","0","0"
"AT1G01080","43.6928649574","941"
"AT1G01090","63.5342680292","1617"
"AT1G01100","317.572732283","3379"
"AT1G01110","2.038918283","59"
"AT1G01115","0","0"
"AT1G01120","45.945568854","1364"
"AT1G01130","4.60560538","67"
"AT1G01140","109.4966715505","2972"
"AT1G01150","0.2172045548","5"
"AT1G01160","25.4305440916","489"
"AT1G01170","83.5914892318","690"
"AT1G01180","11.4226323908","210"
"AT1G01183","0","0"
"AT1G01190","1.4718715369","37"
"AT1G01200","0.9119494699","15"
"AT1G01210","11.5264745034","112"
"AT1G01220","9.1277569818","512"
"AT1G01225","2.9955156943","48"
"AT1G01230","31.9833706942","420"
"AT1G01240","20.366535898","618"
"AT1G01250","0.4569052956","6"
"AT1G01260","6.771254156","282"
"AT1G01270","0","0"
"AT1G01280","0.0798586035","2"
"AT1G01290","8.7582824395","172"
"AT1G01300","44.1658401024","1258"
"AT1G01305","0","0"
"AT1G01310","0.0654726115","1"
"AT1G01320","71.9007639261","6858"
"AT1G01340","15.8213597043","633"
"AT1G01350","20.6978098921","454"
"AT1G01355","0","0"
"AT1G01360","11.7059136741","184"
"AT1G01370","4.1268865412","67"
"AT1G01380","1.8018800391","16"
"AT1G01390","0.3033396154","8"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","2.8616700095","68"
"AT1G01430","14.6087259565","376"
"AT1G01440","13.363605585","467"
"AT1G01448","0","192"
"AT1G01450","0.1358104913","3"
"AT1G01453","0.3060609636","6"
"AT1G01460","0","0"
"AT1G01470","354.7646510011","4068"
"AT1G01471","0","0"
"AT1G01480","6.6350194995","213"
"AT1G01490","45.7844142129","854"
"AT1G01500","4.4220676798","101"
"AT1G01510","18.0175461822","609"
"AT1G01520","0.5182490622","8"
"AT1G01530","0.4253107805","5"
"AT1G01540","43.9309043421","1371"
"AT1G01550","181.8066908863","4480"
"AT1G01560","170.8024217422","4612"
"AT1G01570","1.2463944042","28"
"AT1G01580","0.5045114514","20"
"AT1G01590","0.0907329665","3"
"AT1G01600","5.9737779752","202"
"AT1G01610","22.6089344562","657"
"AT1G01620","140.746392749","2880"
"AT1G01630","32.9670653872","624"
"AT1G01640","4.6977586734","74"
"AT1G01650","30.4850506256","1150"
"AT1G01660","1.6488205162","44"
"AT1G01670","2.8560628685","64"
"AT1G01680","95.1215273495","1507"
"AT1G01690","4.990313158","137"
"AT1G01695","0.6386848218","14"
"AT1G01700","1.0529504755","32"
"AT1G01710","14.8879253633","611"
"AT1G01720","60.5156481979","1269"
"AT1G01725","14.6855212017","109"
"AT1G01730","35.8494924264","514"
"AT1G01740","3.2210740628","87"
"AT1G01750","0.5822720282","9"
"AT1G01760","1.5114092859","33"
"AT1G01770","9.5327235261","369"
"AT1G01780","8.9921297798","135"
"AT1G01790","32.032677021","1974"
"AT1G01800","67.0543891967","1164"
"AT1G01810","1.0010444662","10"
"AT1G01820","57.4357859222","952"
"AT1G01830","12.7071123852","507"
"AT1G01840","0.4669105211","6"
"AT1G01860","4.1696838831","110"
"AT1G01870","0","0"
"AT1G01880","1.2178036938","38"
"AT1G01890","0","0"
"AT1G01900","6.6567015429","256"
"AT1G01910","39.5928698991","1017"
"AT1G01920","7.3630781454","248"
"AT1G01930","8.6398300024","271"
"AT1G01940","12.5152320108","144"
"AT1G01950","8.4717234344","417"
"AT1G01960","21.873249694","1881"
"AT1G01970","14.0424259446","362"
"AT1G01980","0","0"
"AT1G01990","14.9038155956","274"
"AT1G02000","7.3269035616","204"
"AT1G02010","3.432361733","134"
"AT1G02020","6.1142663222","223"
"AT1G02030","0.066013149","2"
"AT1G02040","0","0"
"AT1G02050","4.8755138253","100"
"AT1G02060","3.2321274932","110"
"AT1G02065","3.4119847101","108"
"AT1G02070","0.7413364068","7"
"AT1G02074","0","0"
"AT1G02080","19.5214387874","2319"
"AT1G02090","23.7899212999","618"
"AT1G02100","29.1082105412","677"
"AT1G02110","8.3206521858","305"
"AT1G02120","66.2350655511","2115"
"AT1G02130","28.6941895748","459"
"AT1G02140","118.4810725843","1462"
"AT1G02145","11.5392439511","323"
"AT1G02150","42.2314454925","1262"
"AT1G02160","24.0298340665","214"
"AT1G02170","47.6399009591","1001"
"AT1G02180","4.5292355014","71"
"AT1G02190","1.265793778","45"
"AT1G02205","39.2036968542","1475"
"AT1G02210","0","0"
"AT1G02220","24.7262422366","540"
"AT1G02230","3.9054624714","66"
"AT1G02250","0","0"
"AT1G02260","13.8604542151","468"
"AT1G02270","34.9970013675","940"
"AT1G02280","68.4890919294","1261"
"AT1G02290","4.5286188594","120"
"AT1G02300","9.905200378","198"
"AT1G02305","76.9237572346","1695"
"AT1G02310","11.0446172181","249"
"AT1G02320","0","0"
"AT1G02330","22.6725217586","377"
"AT1G02335","14.9153219103","195"
"AT1G02340","0.9699665494","19"
"AT1G02350","0.6048864434","9"
"AT1G02360","19.8670195806","314"
"AT1G02370","2.2559374096","62"
"AT1G02380","2.6248618233","48"
"AT1G02390","25.5366946358","730"
"AT1G02391","0","0"
"AT1G02400","38.2176199482","886"
"AT1G02405","0.2427580318","2"
"AT1G02410","24.6402498715","459"
"AT1G02420","2.0802192321","48"
"AT1G02430","1.5579292315","31"
"AT1G02440","1.1163480172","11"
"AT1G02450","50.1328989809","424"
"AT1G02460","1.4884227913","42"
"AT1G02470","18.6446838378","265"
"AT1G02475","63.9667413883","940"
"AT1G02480","0","0"
"AT1G02490","2.1868971415","4"
"AT1G02500","254.823802778","6109"
"AT1G02510","0.1178024703","2"
"AT1G02520","0.7931809834","49"
"AT1G02530","0.1439971667","9"
"AT1G02540","0","0"
"AT1G02550","0","0"
"AT1G02560","211.6006448909","4439"
"AT1G02570","0.0706034673","1"
"AT1G02575","0","0"
"AT1G02580","0.1954461762","9"
"AT1G02590","0","0"
"AT1G02600","0","0"
"AT1G02610","5.5979432165","85"
"AT1G02620","0","0"
"AT1G02630","0.5168226464","13"
"AT1G02640","8.1691271897","333"
"AT1G02650","0.2488978264","6"
"AT1G02660","38.4437909149","1580"
"AT1G02670","0.8792679229","36"
"AT1G02680","16.7850986223","239"
"AT1G02690","8.0782740413","247"
"AT1G02700","0.6210363242","10"
"AT1G02710","1.538718865","7"
"AT1G02720","5.1591704226","150"
"AT1G02730","15.5684492533","938"
"AT1G02740","14.0154573626","301"
"AT1G02750","17.2710201749","273"
"AT1G02760","0","0"
"AT1G02770","0.1575535502","3"
"AT1G02780","619.0069629792","9988"
"AT1G02790","0","0"
"AT1G02800","2.7921990289","77"
"AT1G02810","3.3560724758","102"
"AT1G02813","0","0"
"AT1G02816","17.2437598193","272"
"AT1G02820","1.2481315393","12"
"AT1G02830","0","0"
"AT1G02840","60.3951981113","1530"
"AT1G02850","24.7498810915","715"
"AT1G02860","8.6441542417","209"
"AT1G02870","15.8588955518","210"
"AT1G02880","13.842980895","368"
"AT1G02890","27.5160734561","1785"
"AT1G02900","4.3086406117","39"
"AT1G02910","45.1916605826","1114"
"AT1G02920","353.5113318673","5126"
"AT1G02930","666.4883481205","11317"
"AT1G02940","1.0785572478","13"
"AT1G02950","5.7776411577","84"
"AT1G02952","0","2"
"AT1G02960","10.3790832588","298"
"AT1G02965","0","0"
"AT1G02970","0.9994803342","29"
"AT1G02980","0","0"
"AT1G02990","7.4151793129","534"
"AT1G03000","10.1108720259","499"
"AT1G03010","1.4627935144","52"
"AT1G03020","3.5192058369","17"
"AT1G03022","0","0"
"AT1G03030","16.1700312803","345"
"AT1G03040","37.8704196956","873"
"AT1G03050","0.2260308883","7"
"AT1G03055","2.8641824502","49"
"AT1G03060","8.5447434091","1510"
"AT1G03070","0.5301111165","9"
"AT1G03080","21.0769074658","1892"
"AT1G03090","10.7756713237","449"
"AT1G03100","1.0106498639","41"
"AT1G03103","0","0"
"AT1G03106","0.6170425214","9"
"AT1G03110","7.1165044767","175"
"AT1G03120","0.3495450349","3"
"AT1G03130","248.6958062049","3468"
"AT1G03140","34.5322879706","782"
"AT1G03150","17.3906887758","203"
"AT1G03160","15.7313051243","731"
"AT1G03170","1.8831614274","31"
"AT1G03180","2.1763200873","51"
"AT1G03190","4.7784610131","208"
"AT1G03200","9.740390166","69"
"AT1G03210","30.6832336741","446"
"AT1G03220","113.2169514246","2708"
"AT1G03230","28.9170555278","679"
"AT1G03240","0.9466536781","9"
"AT1G03250","17.756653964","334"
"AT1G03260","8.9803157955","190"
"AT1G03270","2.1748692072","54"
"AT1G03280","26.8518988048","816"
"AT1G03290","57.6400399839","1989"
"AT1G03300","1.7477251745","56"
"AT1G03310","5.0220927249","235"
"AT1G03320","0.0964807562","1"
"AT1G03330","38.943938972","446"
