"Name","RPKM","Total gene reads"
"AT1G01010","10.2374581537","289"
"AT1G01020","6.5624700603","212"
"AT1G01030","1.0821903548","34"
"AT1G01040","10.199469527","1062"
"AT1G01046","0","0"
"AT1G01050","80.7010258234","1304"
"AT1G01060","0.6749664823","36"
"AT1G01070","6.9834204566","168"
"AT1G01073","0","0"
"AT1G01080","37.9768206409","848"
"AT1G01090","60.4481506754","1622"
"AT1G01100","282.097718311","3172"
"AT1G01110","0.9172153927","28"
"AT1G01115","0","0"
"AT1G01120","30.9398735311","969"
"AT1G01130","3.5572233543","60"
"AT1G01140","126.8102669653","3617"
"AT1G01150","0.0514724015","3"
"AT1G01160","27.0661363253","539"
"AT1G01170","61.576383969","537"
"AT1G01180","9.6932686488","188"
"AT1G01183","0","0"
"AT1G01190","2.2624809326","60"
"AT1G01200","0.5557132393","9"
"AT1G01210","9.3510981404","96"
"AT1G01220","7.9999070983","475"
"AT1G01225","1.9521347676","36"
"AT1G01230","34.1797780509","473"
"AT1G01240","19.9615860213","639"
"AT1G01250","0.2165517464","3"
"AT1G01260","6.7371654438","296"
"AT1G01270","0","0"
"AT1G01280","0.0378492441","1"
"AT1G01290","8.0549484157","167"
"AT1G01300","36.8732238231","1108"
"AT1G01305","0.1008893328","1"
"AT1G01310","0.248247652","4"
"AT1G01320","75.6958606643","7610"
"AT1G01340","19.0633876641","807"
"AT1G01350","20.8322780045","485"
"AT1G01355","0","0"
"AT1G01360","10.489766596","174"
"AT1G01370","2.6283095028","45"
"AT1G01380","1.2810103309","12"
"AT1G01390","0.6469595743","18"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","3.0716155609","77"
"AT1G01430","10.7827471293","295"
"AT1G01440","12.9131532167","475"
"AT1G01448","0","218"
"AT1G01450","0.0858237636","2"
"AT1G01453","0.2901171722","6"
"AT1G01460","0","1"
"AT1G01470","469.7296313841","5665"
"AT1G01471","0","0"
"AT1G01480","8.243359531","282"
"AT1G01490","49.2655223079","963"
"AT1G01500","5.4782700529","133"
"AT1G01510","13.6462771055","485"
"AT1G01520","0","2"
"AT1G01530","0.4837858164","6"
"AT1G01540","39.5999000521","1304"
"AT1G01550","188.9431350446","4919"
"AT1G01560","192.2574265072","5454"
"AT1G01570","1.8987835802","46"
"AT1G01580","0.5537396255","22"
"AT1G01590","0.0286687891","1"
"AT1G01600","2.158509317","77"
"AT1G01610","14.6032416921","448"
"AT1G01620","75.6076846711","1636"
"AT1G01630","39.767757121","795"
"AT1G01640","4.3920354201","74"
"AT1G01650","43.1542759509","1702"
"AT1G01660","1.8115752424","56"
"AT1G01670","3.3088984072","78"
"AT1G01680","117.561791615","1940"
"AT1G01690","3.9419585044","116"
"AT1G01695","0.3725621444","9"
"AT1G01700","0.7901613792","21"
"AT1G01710","13.0174364414","572"
"AT1G01720","80.4466700487","1771"
"AT1G01725","14.7236065991","120"
"AT1G01730","39.2458395799","595"
"AT1G01740","3.3406442396","95"
"AT1G01750","0.7884849024","16"
"AT1G01760","2.1721196515","48"
"AT1G01770","9.7549135554","397"
"AT1G01780","9.3631532526","146"
"AT1G01790","27.5441358022","1795"
"AT1G01800","68.1447717842","1246"
"AT1G01810","1.1386758497","12"
"AT1G01820","66.7095093612","1164"
"AT1G01830","10.7228319157","448"
"AT1G01840","0.3688229258","5"
"AT1G01860","4.5812725018","114"
"AT1G01870","0","0"
"AT1G01880","0.3949140065","13"
"AT1G01890","0","0"
"AT1G01900","2.6373537896","107"
"AT1G01910","38.4574710013","1041"
"AT1G01920","6.5432901792","221"
"AT1G01930","7.7650971398","258"
"AT1G01940","13.8404811835","168"
"AT1G01950","10.5089205909","552"
"AT1G01960","20.4468986545","1857"
"AT1G01970","13.0535133978","355"
"AT1G01980","0.0663397035","2"
"AT1G01990","15.6226617052","303"
"AT1G02000","5.4812760966","161"
"AT1G02010","3.3028542786","137"
"AT1G02020","7.0432689745","271"
"AT1G02030","0.1251485841","4"
"AT1G02040","0","0"
"AT1G02050","3.3737177565","73"
"AT1G02060","3.1473115555","113"
"AT1G02065","1.2090625921","40"
"AT1G02070","0","0"
"AT1G02074","0.412479517","1"
"AT1G02080","19.9710740912","2504"
"AT1G02090","21.3079608702","586"
"AT1G02100","30.1271015003","739"
"AT1G02110","6.7866606091","264"
"AT1G02120","72.0303326706","2398"
"AT1G02130","32.3661082291","545"
"AT1G02140","118.2565638858","1546"
"AT1G02145","10.4105619155","317"
"AT1G02150","37.8092546556","1192"
"AT1G02160","25.4515138989","239"
"AT1G02170","52.7374821942","1170"
"AT1G02180","3.1043801555","51"
"AT1G02190","0.3627465978","13"
"AT1G02205","12.0407116523","478"
"AT1G02210","0","0"
"AT1G02220","38.5407690578","880"
"AT1G02230","4.4311976231","79"
"AT1G02250","0.0556790533","1"
"AT1G02260","14.5794018272","518"
"AT1G02270","39.3663430067","1107"
"AT1G02280","55.159824741","1070"
"AT1G02290","3.2910755088","92"
"AT1G02300","10.8717095181","232"
"AT1G02305","90.6285219297","2107"
"AT1G02310","10.2511546142","246"
"AT1G02320","0","0"
"AT1G02330","24.4142649448","427"
"AT1G02335","10.7130647622","147"
"AT1G02340","0.1451743551","3"
"AT1G02350","1.0034076193","16"
