"Name","RPKM","Total gene reads"
"AT1G01010","16.1007383525","541"
"AT1G01020","7.4445281138","304"
"AT1G01030","1.2312716428","47"
"AT1G01040","8.9523177602","1120"
"AT1G01046","0","0"
"AT1G01050","95.1373727112","1827"
"AT1G01060","125.4901143063","7988"
"AT1G01070","10.3739712364","295"
"AT1G01073","0","0"
"AT1G01080","23.1811001152","627"
"AT1G01090","65.7833386943","2101"
"AT1G01100","223.3377906818","2990"
"AT1G01110","0.8815249025","33"
"AT1G01115","0","0"
"AT1G01120","48.3324228218","1800"
"AT1G01130","8.4304634047","133"
"AT1G01140","145.1756482332","4957"
"AT1G01150","0.2164291429","5"
"AT1G01160","20.9386421641","519"
"AT1G01170","82.2782072815","843"
"AT1G01180","9.9726721069","230"
"AT1G01183","0","0"
"AT1G01190","1.5538212673","49"
"AT1G01200","0.7788804391","16"
"AT1G01210","13.2443392408","162"
"AT1G01220","5.659217662","400"
"AT1G01225","1.4924109096","31"
"AT1G01230","23.3503113165","386"
"AT1G01240","18.1527964447","691"
"AT1G01250","1.1533612089","19"
"AT1G01260","7.0437611998","368"
"AT1G01270","0","0"
"AT1G01280","0.0318294045","1"
"AT1G01290","10.846433811","266"
"AT1G01300","20.0940323618","718"
"AT1G01305","0.084843105","1"
"AT1G01310","0.5741021155","11"
"AT1G01320","97.8712877951","11701"
"AT1G01340","12.8935079272","645"
"AT1G01350","16.6448233408","459"
"AT1G01355","0.1484445592","3"
"AT1G01360","11.8298438099","233"
"AT1G01370","1.953273015","39"
"AT1G01380","1.4363579177","16"
"AT1G01390","1.6624118757","55"
"AT1G01400","0.0445333678","1"
"AT1G01410","0","0"
"AT1G01420","3.6901168871","110"
"AT1G01430","16.3344161976","527"
"AT1G01440","14.463820274","636"
"AT1G01448","0","170"
"AT1G01450","0.0721736816","2"
"AT1G01453","0.0813248901","2"
"AT1G01460","0.0351175662","1"
"AT1G01470","231.8779563831","3338"
"AT1G01471","0","0"
"AT1G01480","19.8211606704","782"
"AT1G01490","69.32640518","1635"
"AT1G01500","8.0621855604","233"
"AT1G01510","14.4335641332","612"
"AT1G01520","20.8330083856","370"
"AT1G01530","0.13561358","2"
"AT1G01540","29.7125331037","1164"
"AT1G01550","196.9634586245","6128"
"AT1G01560","78.5733979607","2664"
"AT1G01570","0.9580717217","28"
"AT1G01580","1.3758388937","65"
"AT1G01590","0.0723272427","3"
"AT1G01600","3.3475174586","143"
"AT1G01610","22.5282214349","822"
"AT1G01620","133.5972092705","3434"
"AT1G01630","33.0613056858","785"
"AT1G01640","3.9499842736","78"
"AT1G01650","38.2430295577","1762"
"AT1G01660","1.4039620302","49"
"AT1G01670","2.0598655183","59"
"AT1G01680","102.1927725936","2029"
"AT1G01690","2.3204990354","81"
"AT1G01695","0.3916336872","11"
"AT1G01700","1.1191375819","43"
"AT1G01710","21.0551511048","1066"
"AT1G01720","124.1057990612","3276"
"AT1G01725","22.6250152792","213"
"AT1G01730","32.4435371633","587"
"AT1G01740","2.6280754909","92"
"AT1G01750","0.4641546717","9"
"AT1G01760","1.3214054928","37"
"AT1G01770","10.4701492156","511"
"AT1G01780","9.2315442312","170"
"AT1G01790","26.5958718747","2076"
"AT1G01800","69.6129949084","1510"
"AT1G01810","0.9575719451","12"
"AT1G01820","49.5310484603","1034"
"AT1G01830","11.7873043786","589"
"AT1G01840","0.7443898697","12"
"AT1G01860","6.194426516","178"
"AT1G01870","0","0"
"AT1G01880","0.2810109052","11"
"AT1G01890","0","0"
"AT1G01900","2.5909911624","125"
