"Name","RPKM","Total gene reads"
"AT1G01010","9.1256073583","221"
"AT1G01020","8.0829937152","231"
"AT1G01030","4.0989459567","111"
"AT1G01040","8.5129067006","764"
"AT1G01046","0","1"
"AT1G01050","100.0063018371","1390"
"AT1G01060","0.4170499491","19"
"AT1G01070","5.6299472442","115"
"AT1G01073","0","0"
"AT1G01080","59.7637989878","1142"
"AT1G01090","85.2533578851","1957"
"AT1G01100","330.6769359493","3172"
"AT1G01110","1.4573090605","38"
"AT1G01115","0","0"
"AT1G01120","58.6506009021","1569"
"AT1G01130","5.1110129765","42"
"AT1G01140","134.6951362926","3300"
"AT1G01150","0","0"
"AT1G01160","33.048543658","567"
"AT1G01170","106.1348433633","803"
"AT1G01180","16.2978730118","270"
"AT1G01183","0","0"
"AT1G01190","3.0460535463","69"
"AT1G01200","2.0240490403","31"
"AT1G01210","13.2523108833","115"
"AT1G01220","11.2147085413","565"
"AT1G01225","2.9779614904","46"
"AT1G01230","31.9950231402","378"
"AT1G01240","15.7991127558","432"
"AT1G01250","1.6901497938","20"
"AT1G01260","6.0221103014","226"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","8.0416418063","145"
"AT1G01300","34.2074444549","878"
"AT1G01305","0","0"
"AT1G01310","0.0726574118","1"
"AT1G01320","78.8801444323","6770"
"AT1G01340","7.8686973833","285"
"AT1G01350","23.2226581671","460"
"AT1G01355","0","1"
"AT1G01360","15.8299429689","224"
"AT1G01370","3.7926143559","54"
"AT1G01380","1.6246862455","15"
"AT1G01390","1.5989798879","38"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","5.4640763729","117"
"AT1G01430","28.7922472793","670"
"AT1G01440","11.0266864081","348"
"AT1G01448","0","271"
"AT1G01450","0.1507139944","3"
"AT1G01453","0.1132157757","2"
"AT1G01460","0","1"
"AT1G01470","522.2911587066","5380"
"AT1G01471","0","0"
"AT1G01480","2.7522378818","81"
"AT1G01490","52.0241998179","891"
"AT1G01500","7.9197573501","164"
"AT1G01510","15.6136900674","474"
"AT1G01520","0","0"
"AT1G01530","0","0"
"AT1G01540","55.8182803702","1568"
"AT1G01550","103.3604113808","2320"
"AT1G01560","15.81624386","384"
"AT1G01570","2.3711496064","48"
"AT1G01580","0.5598752742","21"
"AT1G01590","0.1342530333","4"
"AT1G01600","3.0849336043","94"
"AT1G01610","29.3353908718","771"
"AT1G01620","179.5822920836","3317"
"AT1G01630","37.1158580657","637"
"AT1G01640","3.356494661","47"
"AT1G01650","33.0310085381","1075"
"AT1G01660","0.7069519348","17"
"AT1G01670","2.5657695665","51"
"AT1G01680","8.1652625272","122"
"AT1G01690","3.2724176859","83"
"AT1G01695","0.5452096109","10"
"AT1G01700","1.801435377","51"
"AT1G01710","16.8920027146","625"
"AT1G01720","32.8500390777","623"
"AT1G01725","17.3939919178","117"
"AT1G01730","31.2027654243","405"
"AT1G01740","2.6073163881","64"
"AT1G01750","1.0154085887","17"
"AT1G01760","1.4608459346","36"
"AT1G01770","10.8793554044","381"
"AT1G01780","9.3741215402","125"
"AT1G01790","50.0114108056","2767"
"AT1G01800","72.9904580358","1138"
"AT1G01810","0.2221793156","2"
"AT1G01820","63.196765096","942"
"AT1G01830","11.005408372","392"
"AT1G01840","0.6908641493","8"
"AT1G01860","9.4648388454","197"
"AT1G01870","0","0"
"AT1G01880","0.8535425812","24"
"AT1G01890","0","0"
"AT1G01900","3.9244453749","136"
"AT1G01910","35.5582707081","830"
"AT1G01920","10.6515915064","308"
"AT1G01930","8.6646598735","248"
"AT1G01940","15.6246999961","162"
"AT1G01950","8.1014439757","353"
"AT1G01960","19.0028816309","1471"
"AT1G01970","20.404792053","476"
"AT1G01980","0","0"
"AT1G01990","20.2214350332","335"
"AT1G02000","8.0910820562","203"
"AT1G02010","4.2995761828","154"
"AT1G02020","8.6412802146","284"
"AT1G02030","0.1465145332","4"
"AT1G02040","0.0728064527","1"
"AT1G02050","6.1680161683","114"
"AT1G02060","4.1737461146","128"
"AT1G02065","1.2031574803","34"
"AT1G02070","0.2350539448","2"
"AT1G02074","0","0"
"AT1G02080","17.1789452081","1836"
"AT1G02090","17.7144813833","416"
"AT1G02100","25.278045209","541"
"AT1G02110","10.522168509","348"
"AT1G02120","57.1774079185","1647"
"AT1G02130","31.2172818921","449"
"AT1G02140","133.7435985891","1488"
"AT1G02145","12.0643755004","302"
"AT1G02150","48.1666144383","1296"
"AT1G02160","33.0518181902","265"
"AT1G02170","40.1688894112","763"
"AT1G02180","5.876860721","77"
