"Name","RPKM","Total gene reads"
"AT1G02650","0.4332069955","11"
"AT1G02660","34.2393682796","1479"
"AT1G02670","0.5962468756","27"
"AT1G02680","14.3282660162","215"
"AT1G02690","8.5144053841","275"
"AT1G02700","0.1768769251","3"
"AT1G02710","1.4608048453","7"
"AT1G02720","3.9382024903","122"
"AT1G02730","17.5848891076","1116"
"AT1G02740","13.3978571543","300"
"AT1G02750","16.3357632123","274"
"AT1G02760","0","0"
"AT1G02770","0.1994342998","5"
"AT1G02780","616.7017290501","10484"
"AT1G02790","0","0"
"AT1G02800","2.4786834402","73"
"AT1G02810","3.9508081276","124"
"AT1G02813","0.3969133613","4"
"AT1G02816","17.5743323398","292"
"AT1G02820","1.1849315958","12"
"AT1G02830","0","0"
"AT1G02840","69.7569007425","1860"
"AT1G02850","26.896600711","815"
"AT1G02860","7.8862001476","200"
"AT1G02870","15.9923597046","222"
"AT1G02880","14.3334806663","403"
"AT1G02890","27.7545343035","1891"
"AT1G02900","5.7686112877","55"
"AT1G02910","43.8394249036","1143"
"AT1G02920","371.8507498627","5688"
"AT1G02930","759.3784721193","13600"
"AT1G02940","1.6540630739","22"
"AT1G02950","7.1175528247","109"
"AT1G02952","0","1"
"AT1G02960","9.353714875","286"
"AT1G02965","0","0"
"AT1G02970","1.3742269719","42"
"AT1G02980","0.0521940217","2"
"AT1G02990","7.8340707556","589"
"AT1G03000","10.4804332877","538"
"AT1G03010","1.3019287722","48"
"AT1G03020","2.3583590013","12"
"AT1G03022","0","0"
"AT1G03030","15.3964020823","352"
"AT1G03040","41.5834897327","1014"
"AT1G03050","0.2452407644","8"
"AT1G03055","2.2659606076","41"
"AT1G03060","9.0522159517","1688"
"AT1G03070","0.5591873323","10"
"AT1G03080","23.0058208383","2173"
"AT1G03090","9.5775529166","423"
"AT1G03100","1.2168950685","52"
"AT1G03103","0","0"
"AT1G03106","0.3905321176","6"
"AT1G03110","6.251385441","161"
"AT1G03120","0.5530759953","5"
"AT1G03130","202.9477642486","2981"
"AT1G03140","36.2346415996","862"
"AT1G03150","18.8803619509","235"
"AT1G03160","15.161336429","748"
"AT1G03170","2.0184910256","35"
"AT1G03180","2.673803284","67"
"AT1G03190","5.0624716454","234"
"AT1G03200","10.7653728503","79"
"AT1G03210","30.5402012484","475"
"AT1G03220","79.9780423083","2015"
"AT1G03230","21.0242523486","520"
"AT1G03240","1.9258269857","16"
"AT1G03250","18.7870111915","371"
"AT1G03260","8.3888175287","188"
"AT1G03270","1.7813471657","45"
"AT1G03280","28.1756288576","910"
"AT1G03290","59.5652259337","2163"
"AT1G03300","1.6290602043","55"
"AT1G03310","5.2404652428","261"
"AT1G03320","0.0915953911","1"
"AT1G03330","39.899633641","480"
"AT1G03340","1.6842825841","37"
"AT1G03350","23.0322765905","666"
"AT1G03360","5.2368070624","109"
"AT1G03365","7.6230877874","357"
"AT1G03370","31.5481356613","2001"
"AT1G03380","11.7159635274","724"
"AT1G03390","0.0876302226","2"
"AT1G03400","45.7914706088","938"
"AT1G03410","10.6021665171","468"
"AT1G03430","27.9051390806","488"
"AT1G03440","6.5937142864","181"
"AT1G03445","0.0222690665","1"
"AT1G03457","3.2731697034","97"
"AT1G03470","6.8665693216","144"
"AT1G03475","134.7082283421","3216"
"AT1G03490","0.0717822036","1"
"AT1G03495","15.4592317069","446"
"AT1G03502","0","1"
"AT1G03506","0","3"
"AT1G03510","1.6476519767","35"
"AT1G03515","0","0"
"AT1G03520","6.863577978","234"
"AT1G03530","3.782350855","162"
"AT1G03540","0.9291676721","28"
"AT1G03550","11.0545734825","265"
"AT1G03545","0","1"
"AT1G03560","3.3662829426","125"
"AT1G03570","0","0"
"AT1G03590","16.7963905807","560"
"AT1G03600","134.7688786604","1731"
"AT1G03610","19.4328781708","546"
"AT1G03620","3.3894554949","53"
"AT1G03630","61.8603994856","1421"
"AT1G03640","0","0"
"AT1G03650","7.1984968003","99"
"AT1G03660","9.7464280949","52"
"AT1G03670","0","0"
"AT1G03680","231.9666364069","3478"
"AT1G03687","6.3371730386","151"
"AT1G03700","0.1897742009","2"
"AT1G03710","1.5789213514","27"
"AT1G03720","0.073609387","1"
"AT1G03730","24.9620596822","439"
"AT1G03740","25.6314583811","1313"
"AT1G03743","0","0"
"AT1G03746","0","0"
"AT1G03750","4.5494881107","204"
"AT1G03760","7.1185923111","164"
"AT1G03770","4.5756287134","128"
"AT1G03780","6.9932747493","334"
"AT1G03790","0.7721264372","20"
"AT1G03800","0.2468607491","3"
"AT1G03810","0","0"
"AT1G03820","20.7604149063","294"
"AT1G03830","3.2865729652","180"
"AT1G03840","0.3241694535","9"
"AT1G03850","17.733641758","316"
"AT1G03860","41.0646260646","1066"
"AT1G03870","23.7043562228","404"
"AT1G03880","0","0"
"AT1G03890","0","0"
"AT1G03900","93.7782361644","1862"
"AT1G03905","4.3110843882","85"
"AT1G03910","26.5714663756","1080"
"AT1G03920","0.7269156423","25"
"AT1G03930","20.623536767","802"
"AT1G03935","0","0"
"AT1G03940","11.7847899798","294"
"AT1G03950","21.8183512397","369"
"AT1G03960","4.7936519853","197"
"AT1G03970","33.1675049355","627"
"AT1G03980","0.6496335503","25"
"AT1G03982","0","0"
"AT1G03990","0.9334523715","37"
"AT1G04000","11.4987444798","192"
"AT1G04010","4.4045967092","177"
"AT1G04020","3.6674397839","145"
"AT1G04030","4.3094986464","148"
"AT1G04040","20.7948249476","372"
"AT1G04050","2.0431764432","92"
"AT1G04070","8.8122278771","92"
"AT1G04080","40.8532097909","2101"
"AT1G04090","0.0927141134","3"
"AT1G04100","3.5351876656","73"
"AT1G04110","1.5651480485","60"
"AT1G04120","26.0518762276","2323"
"AT1G04130","6.650034355","144"
"AT1G04140","36.9975079028","1924"
"AT1G04150","0.0599484149","3"
"AT1G04160","2.2117144265","165"
"AT1G04170","47.0783962936","1391"
"AT1G04171","0","0"
"AT1G04180","0","0"
"AT1G04190","18.2092186758","405"
"AT1G04200","23.5970663502","1057"
"AT1G04210","19.9734251771","1315"
"AT1G04220","5.0039116646","158"
"AT1G04230","9.9300453952","226"
"AT1G04240","4.9489502982","99"
"AT1G04250","6.6482075159","119"
"AT1G04260","16.9573892153","234"
"AT1G04270","333.471225798","4406"
"AT1G04280","20.1900032943","655"
"AT1G04290","16.0602298932","233"
"AT1G04295","0","4"
"AT1G04300","26.1074021589","1676"
"AT1G04310","5.5810518026","230"
"AT1G04320","0","0"
"AT1G04330","0.2711060013","3"
"AT1G04340","24.0170295089","333"
"AT1G04350","26.3265705828","635"
"AT1G04360","0.2989410759","7"
"AT1G04370","0","0"
"AT1G04380","0.142108606","3"
"AT1G04390","2.9808811514","175"
"AT1G04400","77.9956094445","3235"
