"Name","RPKM","Total gene reads"
"AT1G01010","3.6969318948","92"
"AT1G01020","7.3030759421","227"
"AT1G01030","2.2788254391","64"
"AT1G01040","7.982630046","756"
"AT1G01046","0","0"
"AT1G01050","93.4061595213","1353"
"AT1G01060","65.3766784201","3133"
"AT1G01070","7.6718819364","167"
"AT1G01073","0","0"
"AT1G01080","41.8169370056","847"
"AT1G01090","105.9775946651","2545"
"AT1G01100","256.3379711977","2583"
"AT1G01110","2.3086611551","64"
"AT1G01115","0","0"
"AT1G01120","88.3334548401","2473"
"AT1G01130","4.5220442308","53"
"AT1G01140","60.3204142561","1547"
"AT1G01150","0.5182308753","9"
"AT1G01160","23.6549828987","433"
"AT1G01170","82.9773164679","643"
"AT1G01180","5.7102344241","99"
"AT1G01183","0","0"
"AT1G01190","1.4764136948","35"
"AT1G01200","3.0392557967","46"
"AT1G01210","21.5824838288","196"
"AT1G01220","8.6804812811","462"
"AT1G01225","2.3161689963","37"
"AT1G01230","25.7626077572","322"
"AT1G01240","6.3252705238","181"
"AT1G01250","5.5718044987","69"
"AT1G01260","7.078425091","278"
"AT1G01270","0","0"
"AT1G01280","0","0"
"AT1G01290","10.0059902906","187"
"AT1G01300","51.1522127314","1374"
"AT1G01305","0","0"
"AT1G01310","0","0"
"AT1G01320","89.6895661962","8061"
"AT1G01340","2.8630694242","107"
"AT1G01350","15.1649983311","315"
"AT1G01355","0.1974691804","2"
"AT1G01360","11.3955514616","168"
"AT1G01370","3.2821288772","54"
"AT1G01380","0.8359412751","8"
"AT1G01390","4.3826569753","109"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","7.586324203","170"
"AT1G01430","27.9254132157","681"
"AT1G01440","7.0243370537","232"
"AT1G01448","0","132"
"AT1G01450","0.0960094317","2"
"AT1G01453","0","0"
"AT1G01460","0","0"
"AT1G01470","128.7569677819","1387"
"AT1G01471","0","0"
"AT1G01480","0.4781617767","21"
"AT1G01490","53.2540397214","996"
"AT1G01500","10.9569038857","237"
"AT1G01510","19.2003270124","615"
"AT1G01520","14.6809422076","195"
"AT1G01530","0.0902003503","1"
"AT1G01540","38.6044801603","1141"
"AT1G01550","95.9810414349","2238"
"AT1G01560","1.388346913","35"
"AT1G01570","1.0856682391","24"
"AT1G01580","1.2670734146","45"
"AT1G01590","0.5452110065","17"
"AT1G01600","5.1116033954","163"
"AT1G01610","40.786110142","1127"
"AT1G01620","198.0468683188","3837"
"AT1G01630","42.5703665118","759"
"AT1G01640","1.6377624981","24"
"AT1G01650","21.4491557434","740"
"AT1G01660","0.6357882926","18"
"AT1G01670","2.2113469307","47"
"AT1G01680","1.6166893882","23"
"AT1G01690","2.9665893003","79"
"AT1G01695","0.4167782701","8"
"AT1G01700","0.6048001543","18"
"AT1G01710","16.168304212","622"
"AT1G01720","16.9576658655","333"
"AT1G01725","10.1820863475","75"
"AT1G01730","24.8215504756","340"
"AT1G01740","4.7015329532","122"
"AT1G01750","0.6174442708","12"
"AT1G01760","2.2231086348","49"
"AT1G01770","4.7383825026","177"
"AT1G01780","6.8625271873","98"
"AT1G01790","47.5964907283","2771"
"AT1G01800","48.0003875318","786"
"AT1G01810","0.7430589112","7"
"AT1G01820","36.7631840137","583"
"AT1G01830","7.8535105991","296"
"AT1G01840","1.1552667743","14"
"AT1G01860","11.0538858975","228"
"AT1G01870","0","0"
"AT1G01880","0.4417828783","13"
"AT1G01890","0","0"
"AT1G01900","5.4043943246","196"
"AT1G01910","28.0449715598","683"
"AT1G01920","5.9953104396","197"
"AT1G01930","7.3972409378","220"
"AT1G01940","10.0455738007","110"
"AT1G01950","7.7413020105","351"
"AT1G01960","15.3189906017","1244"
"AT1G01970","28.8763649183","702"
"AT1G01980","0","0"
"AT1G01990","15.9771205603","277"
"AT1G02000","9.1024865623","239"
"AT1G02010","5.0735130394","190"
"AT1G02020","7.1813861445","247"
"AT1G02030","0.1750017117","5"
"AT1G02040","0.1391398225","2"
"AT1G02050","4.1877162656","81"
"AT1G02060","2.1810502721","70"
"AT1G02065","1.9612056235","58"
"AT1G02070","0.112302423","1"
"AT1G02074","0","0"
"AT1G02080","13.367105369","1497"
"AT1G02090","21.0156485952","517"
"AT1G02100","18.8129645002","413"
"AT1G02110","9.4095259167","338"
"AT1G02120","34.6369345337","1069"
"AT1G02130","29.3644987759","444"
"AT1G02140","94.9629288467","1113"
"AT1G02145","9.4034388442","260"
"AT1G02150","39.9881293498","1126"
"AT1G02160","22.1316979549","186"
"AT1G02170","17.7700091405","352"
"AT1G02180","6.8717338801","94"
"AT1G02190","1.6856216415","55"
"AT1G02205","121.2558181284","4324"
"AT1G02210","0","0"
"AT1G02220","4.1610828288","86"
"AT1G02230","0.5019845585","8"
"AT1G02250","0","0"
"AT1G02260","4.6779767905","155"
"AT1G02270","18.5555006431","455"
"AT1G02280","62.9195847615","1094"
"AT1G02290","5.6825688564","143"
"AT1G02300","8.0158485754","159"
"AT1G02305","49.0771964493","1021"
"AT1G02310","0.4391913462","9"
"AT1G02320","0","0"
"AT1G02330","23.5932742476","369"
"AT1G02335","23.3983178048","288"
"AT1G02340","3.3022110704","62"
"AT1G02350","4.0089044599","36"
"AT1G02360","4.0926513068","62"
"AT1G02370","4.4371594415","115"
"AT1G02380","2.0573082584","36"
"AT1G02390","3.0298453808","80"
"AT1G02391","0","0"
"AT1G02400","3.5460391653","74"
"AT1G02405","1.6732421727","13"
"AT1G02410","18.3996442554","325"
