"Name","RPKM","Total gene reads"
"AT1G01010","11.3925927513","288"
"AT1G01020","6.8465068169","206"
"AT1G01030","0.672990256","19"
"AT1G01040","9.3650910394","882"
"AT1G01046","0","0"
"AT1G01050","90.3599381988","1309"
"AT1G01060","120.9938367299","5816"
"AT1G01070","13.1229435719","282"
"AT1G01073","0","0"
"AT1G01080","19.4465997583","389"
"AT1G01090","64.3242009748","1552"
"AT1G01100","204.4158997106","2067"
"AT1G01110","1.5310628787","43"
"AT1G01115","0","0"
"AT1G01120","45.0196179832","1267"
"AT1G01130","8.6369444218","108"
"AT1G01140","157.9186482366","4072"
"AT1G01150","0.2864012237","5"
"AT1G01160","19.766328777","368"
"AT1G01170","73.7651654957","568"
"AT1G01180","9.0082926381","157"
"AT1G01183","0","0"
"AT1G01190","0.5874787289","14"
"AT1G01200","0.6184166544","11"
"AT1G01210","9.4203685607","88"
"AT1G01220","4.8524735524","260"
"AT1G01225","1.7115895958","27"
"AT1G01230","23.8437280274","295"
"AT1G01240","21.4143714734","616"
"AT1G01250","0.9639446899","12"
"AT1G01260","7.8012941122","308"
"AT1G01270","0","0"
"AT1G01280","0.463319233","11"
"AT1G01290","10.8335756106","205"
"AT1G01300","26.8867558411","726"
"AT1G01305","0","0"
"AT1G01310","0.2071938433","3"
"AT1G01320","90.5971638668","8201"
"AT1G01340","17.5677493787","666"
"AT1G01350","17.4955961223","364"
"AT1G01355","0","0"
"AT1G01360","12.0782269649","179"
"AT1G01370","2.0406087186","32"
"AT1G01380","2.1383280094","19"
"AT1G01390","1.8798921339","47"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","3.1962376561","72"
"AT1G01430","13.5198819788","330"
"AT1G01440","15.3120075015","507"
"AT1G01448","0","118"
"AT1G01450","0.1432614189","3"
"AT1G01453","0.3228522885","6"
"AT1G01460","0","1"
"AT1G01470","281.6919523746","3061"
"AT1G01471","0","0"
"AT1G01480","20.2156577723","603"
"AT1G01490","67.013963033","1194"
"AT1G01500","6.6506245548","144"
"AT1G01510","14.8103056537","476"
"AT1G01520","15.3070846596","206"
"AT1G01530","0.089728894","1"
"AT1G01540","26.2576788842","777"
"AT1G01550","223.2035879532","5227"
"AT1G01560","161.5875703915","4123"
"AT1G01570","0.7512999671","16"
"AT1G01580","1.5405508743","55"
"AT1G01590","0.0319036068","1"
"AT1G01600","5.615211786","180"
"AT1G01610","21.8861148889","606"
"AT1G01620","100.5951453944","1954"
"AT1G01630","35.0000864973","626"
"AT1G01640","2.0365028661","33"
"AT1G01650","38.5404192245","1376"
"AT1G01660","1.5416338626","46"
"AT1G01670","2.4867176976","55"
"AT1G01680","133.2041703654","1991"
"AT1G01690","2.1136139478","53"
"AT1G01695","0.5182498333","10"
"AT1G01700","1.1569980846","29"
"AT1G01710","17.870884701","690"
"AT1G01720","121.6723802772","2425"
"AT1G01725","21.7472731371","161"
"AT1G01730","35.591803936","486"
"AT1G01740","2.4783885985","66"
"AT1G01750","0.5264717422","7"
"AT1G01760","1.0800294925","21"
"AT1G01770","8.9130194869","330"
"AT1G01780","9.413602563","131"
"AT1G01790","26.7858731285","1567"
"AT1G01800","60.8391320696","995"
"AT1G01810","0.8447715593","8"
"AT1G01820","44.4260768357","700"
"AT1G01830","10.8090229307","407"
"AT1G01840","0.7387897259","9"
"AT1G01860","4.9482494083","112"
"AT1G01870","0","0"
"AT1G01880","0.540890808","16"
"AT1G01890","0","0"
"AT1G01900","3.6755289397","135"
"AT1G01910","28.1460058088","686"
"AT1G01920","4.2649351389","138"
"AT1G01930","7.9324112803","236"
"AT1G01940","10.5431450461","117"
"AT1G01950","8.1642143457","384"
"AT1G01960","14.1214827188","1150"
"AT1G01970","13.7080066579","335"
"AT1G01980","0","0"
"AT1G01990","11.0738884022","193"
"AT1G02000","6.2134110278","164"
"AT1G02010","3.757816901","140"
"AT1G02020","6.9124709227","239"
"AT1G02030","0.1392696146","4"
"AT1G02040","0.0692062854","1"
"AT1G02050","4.3201179701","84"
"AT1G02060","2.324625458","75"
"AT1G02065","3.7337239485","112"
"AT1G02070","0.2234308884","2"
"AT1G02074","0","0"
"AT1G02080","19.6827670034","2221"
"AT1G02090","22.6954066237","562"
"AT1G02100","27.2255597791","600"
"AT1G02110","6.3277095247","220"
"AT1G02120","58.1443233183","1783"
"AT1G02130","39.4546998945","599"
"AT1G02140","94.2946659108","1112"
"AT1G02145","10.3327713863","291"
"AT1G02150","27.4497129243","777"
"AT1G02160","18.2078441432","154"
"AT1G02170","37.6775387038","759"
"AT1G02180","3.1606465324","47"
"AT1G02190","1.7389154094","57"
"AT1G02205","70.3252457526","2515"
"AT1G02210","0","0"
"AT1G02220","91.2149583534","1876"
"AT1G02230","5.9923296173","97"
"AT1G02250","0.3098077516","5"
"AT1G02260","6.4457624886","209"
"AT1G02270","32.4459680739","820"
"AT1G02280","48.3368176289","842"
"AT1G02290","2.9458604684","74"
"AT1G02300","5.6642552685","113"
"AT1G02305","117.7355330242","2460"
"AT1G02310","25.3399560936","554"
"AT1G02320","0","0"
"AT1G02330","23.3424035502","368"
"AT1G02335","13.2194818656","163"
"AT1G02340","1.0770331731","20"
"AT1G02350","1.4356623042","14"
"AT1G02360","12.7477156325","192"
"AT1G02370","2.3413218578","61"
"AT1G02380","3.2504111757","66"
"AT1G02390","42.4975280386","1151"
"AT1G02391","0","0"
"AT1G02400","32.9569737903","707"
"AT1G02405","0.6401909705","5"
"AT1G02410","25.418303431","448"
"AT1G02420","1.828621363","40"
"AT1G02430","3.5768148237","46"
"AT1G02440","3.2972628137","32"
"AT1G02450","30.0586819208","241"
"AT1G02460","1.19625269","32"
"AT1G02470","32.0278396978","429"
"AT1G02475","62.8276113837","872"
"AT1G02480","0","0"
"AT1G02490","1.1534380905","2"
"AT1G02500","208.0183837728","4729"
"AT1G02510","0","0"
"AT1G02520","1.1155960245","64"
"AT1G02530","0.1012648249","6"
"AT1G02540","0","0"
"AT1G02550","0","0"
"AT1G02560","164.4384692536","3275"
"AT1G02570","0.2979078512","4"
"AT1G02575","0","0"
"AT1G02580","0.7363174192","25"
"AT1G02590","0","0"
"AT1G02600","0","0"
"AT1G02610","10.8019415628","158"
"AT1G02620","0.0982185274","1"
"AT1G02630","0.5032402359","12"
"AT1G02640","2.872435802","113"
"AT1G02650","0.4375883806","10"
"AT1G02660","36.7252212263","1425"
"AT1G02670","0.7950059298","30"
"AT1G02680","12.7959140759","175"
"AT1G02690","3.7911845279","111"
"AT1G02700","0.393064825","6"
"AT1G02710","1.1593836477","5"
"AT1G02720","2.2798473865","63"
"AT1G02730","5.0598342183","289"
"AT1G02740","11.561489761","241"
"AT1G02750","19.3656488208","299"
"AT1G02760","0","0"
"AT1G02770","1.1079824022","20"
"AT1G02780","427.1742865021","6539"
"AT1G02790","0","0"
"AT1G02800","0.7650354682","20"
"AT1G02810","1.3098723751","37"
"AT1G02813","0","0"
"AT1G02816","25.612841563","383"
"AT1G02820","49.0436249561","449"
"AT1G02830","0","0"
"AT1G02840","59.0098637664","1425"
"AT1G02850","15.1484656095","412"
"AT1G02860","13.5663936256","308"
"AT1G02870","13.6873285154","174"
"AT1G02880","17.1297900013","428"
"AT1G02890","26.1998813328","1611"
"AT1G02900","3.0300161238","26"
"AT1G02910","31.376182971","743"
"AT1G02920","411.3490675215","5661"
"AT1G02930","394.4661971402","6365"
"AT1G02940","0.1750353523","2"
"AT1G02950","3.4100839031","49"
"AT1G02952","0","1"
"AT1G02960","6.9419885078","190"
"AT1G02965","0","0"
"AT1G02970","0.763469124","21"
"AT1G02980","0.0579940939","2"
"AT1G02990","7.1676266187","482"
"AT1G03000","7.4876735915","352"
"AT1G03010","0.4179083696","14"
"AT1G03020","1.0918467362","5"
"AT1G03022","0","0"
"AT1G03030","16.655817542","340"
"AT1G03040","34.6649340418","770"
"AT1G03050","1.6690208412","49"
"AT1G03055","7.3644654949","119"
"AT1G03060","6.7631328166","1136"
"AT1G03070","0.9319907223","16"
"AT1G03080","22.4685155237","1910"
"AT1G03090","23.4845926185","920"
"AT1G03100","0.5720519547","22"
"AT1G03103","0","0"
"AT1G03106","0.2169650428","3"
"AT1G03110","8.0246546438","191"
"AT1G03120","0.245814675","3"
"AT1G03130","423.1630736369","5594"
"AT1G03140","30.8155014183","662"
"AT1G03150","22.5223146935","249"
"AT1G03160","12.1081654913","535"
"AT1G03170","0.5767190453","9"
"AT1G03180","1.215380563","27"
"AT1G03190","4.4074988168","187"
"AT1G03200","14.2619998442","93"
"AT1G03210","24.8431273747","348"
"AT1G03220","170.8513209256","3874"
"AT1G03230","14.7351332096","328"
"AT1G03240","1.2839009612","9"
"AT1G03250","23.6956303378","424"
"AT1G03260","5.3190641674","106"
"AT1G03270","1.9792997633","46"
"AT1G03280","24.3851131714","701"
"AT1G03290","71.3512386715","2338"
"AT1G03300","0.9385651228","30"
"AT1G03310","8.3574493929","369"
"AT1G03320","0","0"
"AT1G03330","31.5074483362","339"
"AT1G03340","3.7428977175","73"
"AT1G03350","25.4380392548","662"
"AT1G03360","10.8367516171","204"
"AT1G03365","7.4947039538","325"
"AT1G03370","23.470736056","1339"
"AT1G03380","13.5783955921","757"
"AT1G03390","0.2921044515","6"
"AT1G03400","73.7542470283","1357"
"AT1G03410","6.9715155177","278"
"AT1G03430","26.0688261512","425"
"AT1G03440","7.4478749888","184"
"AT1G03445","0.0247437214","1"
"AT1G03457","2.3214264322","62"
"AT1G03470","2.2185415077","44"
"AT1G03475","67.8023250481","1459"
"AT1G03490","0","0"
"AT1G03495","8.2034334058","213"
"AT1G03502","0","14"
"AT1G03506","0","1"
"AT1G03510","0.523070762","10"
"AT1G03515","0","0"
"AT1G03520","5.3715640215","165"
"AT1G03530","5.6554386653","218"
"AT1G03540","0.6268274213","17"
"AT1G03550","10.083872909","198"
"AT1G03545","0","1"
"AT1G03560","2.3040629174","77"
"AT1G03570","0","0"
"AT1G03590","20.3809573733","614"
"AT1G03600","216.9617048265","2508"
"AT1G03610","28.9240955917","730"
"AT1G03620","2.1968972003","28"
"AT1G03630","78.9480381992","1634"
"AT1G03640","0","0"
"AT1G03650","1.701793904","24"
"AT1G03660","7.2890879331","35"
"AT1G03670","0","0"
"AT1G03680","133.8400127177","1807"
"AT1G03687","6.6217071306","144"
"AT1G03700","0.1054314505","2"
"AT1G03710","0.2024283849","3"
"AT1G03720","0","0"
"AT1G03730","13.0782383494","207"
"AT1G03740","17.1575311703","789"
"AT1G03743","0","0"
"AT1G03746","0","0"
"AT1G03750","3.2945854665","132"
"AT1G03760","5.9078230997","121"
"AT1G03770","3.579203912","90"
"AT1G03780","1.685147845","73"
"AT1G03790","8.3219128349","194"
"AT1G03800","0.9143106815","10"
"AT1G03810","0","0"
"AT1G03820","3.687648872","47"
"AT1G03830","1.8053813591","89"
"AT1G03840","0.3201714273","8"
"AT1G03850","32.75601721","523"
"AT1G03860","25.4108574751","595"
"AT1G03870","20.3406299789","312"
"AT1G03880","0","0"
"AT1G03890","0","0"
"AT1G03900","73.9533860198","1319"
"AT1G03905","3.5482626623","65"
"AT1G03910","19.6463341914","720"
"AT1G03920","0.9086560918","27"
"AT1G03930","16.6237168084","588"
"AT1G03935","0","12"
"AT1G03940","9.0858945031","204"
"AT1G03950","21.2125553024","320"
"AT1G03960","2.74469954","104"
"AT1G03970","34.2082810696","582"
"AT1G03980","0.2021107822","10"
"AT1G03982","0","0"
"AT1G03990","1.0075486878","38"
"AT1G04000","11.5121994034","173"
"AT1G04010","2.4751560192","91"
"AT1G04020","2.079647436","74"
"AT1G04030","1.1696836974","40"
"AT1G04040","19.4874613233","313"
"AT1G04050","1.3621349263","54"
"AT1G04070","8.3014795064","78"
"AT1G04080","34.2845650215","1590"
"AT1G04090","0.1373559864","4"
"AT1G04100","4.2508884652","79"
"AT1G04110","0.608676415","21"
"AT1G04120","27.8849691456","2243"
"AT1G04130","11.3914072103","223"
"AT1G04140","32.8355172087","1536"
"AT1G04150","0.0444067972","2"
"AT1G04160","1.7831799394","122"
"AT1G04170","46.2886992768","1233"
"AT1G04171","0","0"
"AT1G04180","0.1065973591","2"
"AT1G04190","16.9954865871","339"
"AT1G04200","17.2224784601","707"
"AT1G04210","18.1301890126","1079"
"AT1G04220","6.7703065947","192"
"AT1G04230","10.1998798586","210"
"AT1G04240","8.9357181783","163"
"AT1G04250","17.9398353977","291"
"AT1G04260","13.2858725164","165"
"AT1G04270","251.2642327397","3008"
"AT1G04280","19.5242615379","575"
"AT1G04290","16.7296185856","219"
"AT1G04295","0","1"
"AT1G04300","25.4812323238","1474"
"AT1G04310","3.6060117146","134"
"AT1G04320","0","0"
"AT1G04330","0.9036981468","9"
"AT1G04340","18.0310319079","226"
"AT1G04350","56.6818169129","1226"
"AT1G04360","0.9015797733","19"
"AT1G04370","0.5035531962","3"
"AT1G04380","0.0526334854","1"
"AT1G04390","3.8831895092","204"
"AT1G04400","38.1585432813","1423"
"AT1G04410","350.703084597","7721"
"AT1G04420","26.5716339701","573"
"AT1G04425","0","52"
"AT1G04430","38.2965351505","1430"
"AT1G04440","51.1357553463","1660"
"AT1G04445","1.4301298868","11"
"AT1G04450","0","0"
"AT1G04470","0","0"
"AT1G04480","113.0849927913","1122"
"AT1G04490","4.456756622","115"
"AT1G04500","1.7537112552","43"
"AT1G04501","0","0"
"AT1G04510","26.0803555767","772"
"AT1G04520","7.9961316275","175"
"AT1G04530","97.2714305086","1950"
"AT1G04540","2.1670074425","58"
"AT1G04550","27.8242080758","579"
"AT1G04555","11.7849680942","171"
"AT1G04560","0","0"
"AT1G04570","1.1856270605","34"
"AT1G04580","4.2912450012","261"
"AT1G04590","11.3208286201","231"
"AT1G04600","2.4038289495","190"
"AT1G04610","0","0"
"AT1G04620","4.5710988093","109"
"AT1G04625","0.0871784603","43"
"AT1G04630","25.5412995695","287"
"AT1G04635","1.1872632545","12"
"AT1G04640","22.1752534304","420"
"AT1G04645","0.1365913528","1"
"AT1G04650","0.5453938595","25"
"AT1G04660","0.1571648951","3"
"AT1G04670","0","0"
"AT1G04680","36.0714820008","1037"
"AT1G04684","0","0"
"AT1G04690","62.8028699399","1323"
"AT1G04700","0.329914163","19"
"AT1G04710","11.0838530491","263"
"AT1G04720","0","0"
"AT1G04730","2.0559313311","89"
"AT1G04750","62.9475290809","1128"
"AT1G04760","1.22128739","14"
"AT1G04770","30.4125767801","540"
"AT1G04778","0.4410204464","2"
"AT1G04780","35.9032008454","1509"
"AT1G04790","12.8048271448","436"
"AT1G04800","38.8694822875","481"
"AT1G04810","16.6499537352","819"
"AT1G04820","111.8130558129","2823"
"AT1G04830","10.3283277979","326"
"AT1G04840","0.3377183598","10"
"AT1G04850","74.0821828138","1735"
"AT1G04860","11.292084665","574"
"AT1G04870","23.8556318287","554"
"AT1G04880","0.2976262748","7"
"AT1G04890","0","0"
"AT1G04900","1.9456784399","53"
"AT1G04910","14.2894796127","412"
"AT1G04920","0.3695723372","19"
"AT1G04930","1.8197962209","38"
"AT1G04945","9.8413201328","429"
"AT1G04940","8.9533351253","151"
"AT1G04950","8.4742844366","299"
"AT1G04960","24.82345283","624"
"AT1G04970","38.7968280914","1027"
"AT1G04980","8.21743182","197"
"AT1G04985","33.7040882523","522"
"AT1G04990","10.3159913226","289"
"AT1G05000","12.3143934139","226"
"AT1G05010","268.3214955087","5441"
"AT1G05020","0.447232002","16"
"AT1G05030","7.168627458","193"
"AT1G05040","0","0"
"AT1G05055","4.7810625664","107"
"AT1G05060","19.6833461161","295"
"AT1G05065","0.5355248277","2"
"AT1G05070","24.005190454","329"
"AT1G05080","0","0"
"AT1G05085","0","0"
"AT1G05090","1.6224811613","57"
"AT1G05100","54.5325942513","1028"
"AT1G05120","13.0208420401","527"
"AT1G05136","0","0"
"AT1G05140","27.097769216","606"
"AT1G05150","11.1683018153","479"
"AT1G05160","4.9356936963","155"
"AT1G05170","16.208551453","461"
"AT1G05180","18.125940346","554"
"AT1G05190","172.7677552289","2399"
"AT1G05200","6.3546049539","337"
"AT1G05205","20.351866344","169"
"AT1G05210","2.8918340698","33"
"AT1G05220","0.5513881781","10"
"AT1G05230","9.8971000072","446"
"AT1G05240","0.052839568","1"
"AT1G05250","0","1"
"AT1G05260","1.3394764922","24"
"AT1G05270","24.6341420761","519"
"AT1G05280","0","0"
"AT1G05290","0","0"
"AT1G05291","0","0"
"AT1G05300","1.0126482486","30"
"AT1G05310","1.2617077093","25"
"AT1G05320","5.5897384387","228"
"AT1G05330","1.9558298057","12"
"AT1G05340","155.3564304071","1722"
"AT1G05350","18.8700911951","466"
"AT1G05360","9.3716844855","237"
"AT1G05370","0.7750636358","17"
"AT1G05380","10.3922373608","639"
"AT1G05385","11.7585746359","131"
"AT1G05390","0","0"
"AT1G05400","0.4742298173","7"
"AT1G05410","9.0639575322","234"
"AT1G05420","0.1981677777","2"
"AT1G05430","22.9557962242","367"
"AT1G05440","0.9279624716","21"
"AT1G05450","0.7564588374","10"
"AT1G05460","2.4191441552","122"
"AT1G05470","2.9533320248","120"
"AT1G05490","0.3080431944","21"
"AT1G05500","19.0276285951","608"
"AT1G05510","0.4131191528","6"
"AT1G05520","18.2649999253","708"
"AT1G05530","0.0493246552","1"
"AT1G05540","0.8500929549","18"
"AT1G05550","0.3448524444","10"
"AT1G05560","19.9565761261","488"
"AT1G05562","0","7"
"AT1G05570","24.4304518431","2274"
"AT1G05575","51.5914059401","380"
"AT1G05577","0","0"
"AT1G05580","0","0"
"AT1G05590","5.1295789694","163"
"AT1G05600","3.9339219717","107"
"AT1G05610","0.7369406503","17"
"AT1G05615","0","0"
"AT1G05620","21.4720346766","420"
"AT1G05630","17.0599367578","990"
"AT1G05640","1.3609834794","38"
"AT1G05650","0","0"
"AT1G05660","0","0"
"AT1G05670","2.1257106124","105"
"AT1G05675","5.8301544207","131"
"AT1G05680","14.6687235425","331"
"AT1G05690","4.5932545165","114"
"AT1G05700","0.0527363254","2"
"AT1G05710","14.3088671229","344"
"AT1G05720","19.4144870415","225"
"AT1G05730","0.7065563172","12"
"AT1G05740","0.1540550874","1"
"AT1G05750","1.5687258593","75"
"AT1G05760","1.702867591","16"
"AT1G05770","1.0839538682","12"
"AT1G05780","4.350180191","62"
"AT1G05785","13.4777221238","167"
"AT1G05790","9.9974723796","371"
"AT1G05800","0.1906105319","4"
"AT1G05805","18.0409858811","392"
"AT1G05810","4.593798913","61"
"AT1G05820","1.4546544072","49"
"AT1G05830","8.4012831132","495"
"AT1G05835","16.998793859","131"
"AT1G05840","24.5981881124","632"
"AT1G05850","178.4145530299","3916"
"AT1G05860","7.000074534","136"
"AT1G05870","15.0802353841","334"
"AT1G05880","5.9422778105","161"
"AT1G05890","33.2967815013","1298"
"AT1G05894","1.1774357958","26"
"AT1G05900","15.3618716966","367"
"AT1G05910","10.1676357705","602"
"AT1G05920","0","0"
"AT1G05925","0","0"
"AT1G05930","0","0"
"AT1G05940","22.6761208645","675"
"AT1G05950","1.7394138131","54"
"AT1G05960","10.886781934","607"
"AT1G05970","6.1413512334","80"
"AT1G05980","0","0"
"AT1G05990","0","0"
"AT1G06000","107.3155310759","2524"
"AT1G06002","0","26"
"AT1G06010","12.8982804482","123"
"AT1G06020","0.3900354237","7"
"AT1G06030","0.1982648236","4"
"AT1G06040","188.2527276811","3656"
"AT1G06050","9.1254423892","191"
"AT1G06060","17.2472614925","292"
"AT1G06070","12.5470666455","355"
"AT1G06080","3.3738064148","64"
"AT1G06090","0.2983029544","5"
"AT1G06100","3.0739125112","41"
"AT1G06110","19.6302035642","456"
"AT1G06120","0","0"
"AT1G06130","32.615955584","728"
"AT1G06135","1.4829918307","12"
"AT1G06137","0.6519432686","2"
"AT1G06140","0.523070762","13"
"AT1G06150","6.5250111692","477"
"AT1G06149","0.6820363372","31"
"AT1G06148","0.3297953485","17"
"AT1G06160","0.5798163548","8"
"AT1G06170","0.1985760103","5"
"AT1G06180","12.5777870726","177"
"AT1G06190","34.7479109657","761"
"AT1G06200","39.8470140345","576"
"AT1G06210","23.7649217657","587"
"AT1G06220","18.6449702515","983"
"AT1G06225","0","0"
"AT1G06230","24.7694628659","1246"
"AT1G06240","7.8707410462","181"
"AT1G06250","2.0242838489","54"
"AT1G06265","0","45"
"AT1G06260","0.0642018347","1"
"AT1G06270","1.5093344487","34"
"AT1G06280","0","0"
"AT1G06290","58.7539508694","2085"
"AT1G06310","0","1"
"AT1G06320","0.1011636106","1"
"AT1G06330","0","0"
"AT1G06340","0.0923066051","1"
"AT1G06350","6.6302630412","113"
"AT1G06360","33.0351878113","567"
"AT1G06380","5.8767247099","83"
