"Name","RPKM","Total gene reads"
"AT1G01010","5.3907924273","142"
"AT1G01020","7.1960015384","235"
"AT1G01030","2.7835580996","81"
"AT1G01040","7.6205050297","742"
"AT1G01046","0","0"
"AT1G01050","91.1548730818","1371"
"AT1G01060","70.7080437102","3500"
"AT1G01070","8.2170066303","183"
"AT1G01073","0","0"
"AT1G01080","39.0711145091","818"
"AT1G01090","90.0498058717","2242"
"AT1G01100","312.1888024548","3266"
"AT1G01110","2.2988846982","68"
"AT1G01115","0","0"
"AT1G01120","99.0768181354","2874"
"AT1G01130","7.1575244567","90"
"AT1G01140","64.3529836166","1706"
"AT1G01150","0.3334388593","7"
"AT1G01160","22.202221705","423"
"AT1G01170","92.2868119031","744"
"AT1G01180","6.2904450567","113"
"AT1G01183","0","0"
"AT1G01190","2.442729952","60"
"AT1G01200","2.9999310816","47"
"AT1G01210","20.8298244998","196"
"AT1G01220","7.5436923059","418"
"AT1G01225","3.4488963771","56"
"AT1G01230","28.326272328","364"
"AT1G01240","5.6662273755","168"
"AT1G01250","6.3127121188","81"
"AT1G01260","8.6009035097","350"
"AT1G01270","0","0"
"AT1G01280","0.2043232294","5"
"AT1G01290","11.5777834628","227"
"AT1G01300","50.7337045838","1412"
"AT1G01305","0","0"
"AT1G01310","0.0670063078","1"
"AT1G01320","81.360306679","7575"
"AT1G01340","3.0472935701","119"
"AT1G01350","15.9454432038","342"
"AT1G01355","0.285874073","3"
"AT1G01360","9.8852395698","154"
"AT1G01370","4.2895519923","67"
"AT1G01380","2.189855795","19"
"AT1G01390","2.9492308039","76"
"AT1G01400","0","0"
"AT1G01410","0","0"
"AT1G01420","5.5559249935","129"
"AT1G01430","24.1208425346","612"
"AT1G01440","6.7204219265","231"
"AT1G01448","0","140"
"AT1G01450","0.1853224705","4"
"AT1G01453","0.1044101479","2"
"AT1G01460","0","0"
"AT1G01470","133.8118731671","1488"
"AT1G01471","0","0"
"AT1G01480","1.4174229591","46"
"AT1G01490","53.863031993","1067"
"AT1G01500","13.1288793122","298"
"AT1G01510","17.1333418889","568"
"AT1G01520","15.6085920359","225"
"AT1G01530","0","0"
"AT1G01540","41.7015390438","1270"
"AT1G01550","106.575101326","2582"
"AT1G01560","3.2158325544","84"
"AT1G01570","0.9111365722","22"
"AT1G01580","0.8696078069","32"
"AT1G01590","0.2785751605","9"
"AT1G01600","7.6875410676","254"
"AT1G01610","38.1644967975","1094"
"AT1G01620","196.395488141","3936"
"AT1G01630","34.9365207499","652"
"AT1G01640","2.8978542851","44"
"AT1G01650","24.859068544","891"
"AT1G01660","0.6903180602","18"
"AT1G01670","2.1806255475","48"
"AT1G01680","2.8492609678","43"
"AT1G01690","3.327425528","93"
"AT1G01695","0.2514023146","5"
"AT1G01700","0.8980132059","28"
"AT1G01710","17.7848776714","720"
"AT1G01720","29.8970841876","613"
"AT1G01725","14.5959855057","107"
"AT1G01730","22.6610178624","320"
"AT1G01740","4.5375734819","124"
"AT1G01750","1.1918235084","23"
"AT1G01760","1.9958891071","43"
"AT1G01770","4.8225818426","182"
"AT1G01780","5.6471546111","83"
"AT1G01790","40.1503965564","2425"
"AT1G01800","52.1694147308","884"
"AT1G01810","1.0244939392","10"
"AT1G01820","41.9151948291","683"
"AT1G01830","9.4745378233","374"
"AT1G01840","0.955695806","12"
"AT1G01860","9.3106009193","204"
"AT1G01870","0","0"
"AT1G01880","0.7215599097","23"
"AT1G01890","0","0"
"AT1G01900","5.7215487738","216"
"AT1G01910","30.5504092664","769"
"AT1G01920","5.9880775761","201"
"AT1G01930","7.6632556653","235"
"AT1G01940","14.4094515756","165"
"AT1G01950","8.134977708","384"
"AT1G01960","14.8443298892","1247"
"AT1G01970","24.1375493814","609"
"AT1G01980","0","0"
"AT1G01990","15.3086052264","275"
"AT1G02000","7.8293541033","213"
"AT1G02010","4.7901338571","186"
"AT1G02020","5.7804644316","206"
"AT1G02030","0.0675595074","2"
"AT1G02040","0","0"
"AT1G02050","4.5406477187","91"
"AT1G02060","2.4357731648","81"
"AT1G02065","3.2961024098","101"
"AT1G02070","0.7587022169","7"
"AT1G02074","0","0"
"AT1G02080","15.635150545","1815"
"AT1G02090","26.7148373461","682"
"AT1G02100","18.9324338161","434"
"AT1G02110","8.3741089729","304"
"AT1G02120","36.0821160246","1178"
"AT1G02130","29.8151818431","468"
"AT1G02140","115.168649309","1399"
"AT1G02145","10.2526646941","291"
"AT1G02150","34.3092292546","1001"
"AT1G02160","25.054568446","218"
"AT1G02170","21.2663777079","436"
"AT1G02180","5.6337122597","81"
"AT1G02190","2.6812698949","90"
"AT1G02205","139.9892588965","5177"
"AT1G02210","0","0"
"AT1G02220","8.1287119999","172"
"AT1G02230","0.5450383575","9"
"AT1G02250","0","0"
"AT1G02260","5.2164691631","176"
"AT1G02270","18.9431109129","485"
"AT1G02280","62.6212757474","1133"
"AT1G02290","4.5188342404","117"
"AT1G02300","7.6829530813","152"
"AT1G02305","55.0428482518","1186"
"AT1G02310","0.4709723936","10"
"AT1G02320","0","0"
"AT1G02330","28.3393615528","461"
"AT1G02335","18.884181552","240"
"AT1G02340","2.246609734","44"
"AT1G02350","2.6309876268","36"
"AT1G02360","5.5687477679","88"
"AT1G02370","4.8409961051","132"
"AT1G02380","2.861545917","52"
"AT1G02390","3.6552296323","104"
"AT1G02391","0","0"
"AT1G02400","7.6270092482","166"
"AT1G02405","1.739112482","14"
"AT1G02410","25.7741244357","472"
"AT1G02420","2.4837731111","56"
"AT1G02430","1.9695822593","32"
"AT1G02440","0.2284996953","5"
"AT1G02450","4.7193000847","39"
"AT1G02460","1.9947833514","57"
"AT1G02470","5.8828141609","79"
"AT1G02475","53.7674048983","778"
"AT1G02480","0","0"
"AT1G02490","0","0"
